기업명,날짜,뉴스제목,URL
HD한국조선해양,2024.01.01,"권오갑 HD현대 회장 ""리더는 말 아닌 행동으로 새 변화 만들어야""",http://www.edaily.co.kr/news/newspath.asp?newsid=01518646638753456
HD한국조선해양,2024.01.01,"HD현대, 자율선박·블루수소…초격차 기술로 미래준비",https://www.hankyung.com/article/2024010143021
HD한국조선해양,2024.01.01,"HD현대 임원들, 새해 해맞이 보며 신년 각오 다져",https://zdnet.co.kr/view/?no=20240101131738
HD한국조선해양,2024.01.01,"조선·해운업계, 불확실성 줄이고 미래성장 속도낸다",https://biz.newdaily.co.kr/site/data/html/2023/12/29/2023122900187.html
HD한국조선해양,2024.01.01,"K-조선, 올해도 호황 이어간다",http://www.m-i.kr/news/articleView.html?idxno=1078660
HD한국조선해양,2024.01.01,양보다 질…조선업계 고가 선박 수주 효과 나타난다,http://www.smedaily.co.kr/news/articleView.html?idxno=278041
HD한국조선해양,2024.01.01,갑진년 새해 첫 선박 인도는 2일 HD현대重 울산조선소,http://www.g-enews.com/ko-kr/news/article/news_all/20240101120630542a67d2c7d5a_1/article.html
HD한국조선해양,2024.01.01,"HD현대, 메탄올·암모니아등 친환경 선박 수주 박차",https://www.mk.co.kr/article/10911011
HD한국조선해양,2024.01.01,K-조선 인력난 해소•스마트조선소 건설로 대중 경쟁력 높인...,https://www.asiatime.co.kr/article/20231226500402
HD한국조선해양,2024.01.01,"조선업계, AI 기술 적용 속도…스마트조선소 만든다",https://www.mediapen.com/news/view/885205
HD한국조선해양,2024.01.01,"K-조선, 친환경·초격차로 1위 수성",http://www.m-i.kr/news/articleView.html?idxno=1078758
HD한국조선해양,2024.01.01,"K-조선, 친환경 선박 중심으로 초격차 경쟁력 확대",http://www.g-enews.com/ko-kr/news/article/news_all/202401011006556888a67d2c7d5a_1/article.html
HD한국조선해양,2024.01.01,현대미포조선 주가 꿈틀...국제적 검사표준 개발 '잰걸음',https://www.pinpointnews.co.kr/news/articleView.html?idxno=235549
HD한국조선해양,2024.01.01,"韓 조선기자재 업체, 중국 남방→북방 조선소로 영업 범위 확대",https://www.theguru.co.kr/news/article.html?no=64466
HD한국조선해양,2024.01.01,한국의 리파운더 후보자…존재감 높이는 3040 뉴 리더,https://magazine.hankyung.com/business/article/202312276367b
HD한국조선해양,2024.01.01,동성화인텍 주가 '훨훨'...수주잔고 풍부 부각,https://www.pinpointnews.co.kr/news/articleView.html?idxno=235588
HD한국조선해양,2024.01.01,신규 발주 줄어도…쌓아둔 일감 '두둑',https://www.mk.co.kr/article/10910993
HD한국조선해양,2024.01.01,선박 수주량 또 中에 밀려 3년째 2위,https://www.donga.com/news/Economy/article/all/20231231/122845670/1
HD한국조선해양,2024.01.01,울산 기업 시민과 함께 새해행사 목표 인식·달성 위해 각오 다짐,https://www.ulsanpress.net/news/articleView.html?idxno=519205
HD한국조선해양,2024.01.01,K-제조업 ‘청룡의 해’ 글로벌 공급망 재편 중심에 선다,http://www.g-enews.com/ko-kr/news/article/news_all/202401010830411935a67d2c7d5a_1/article.html
HD한국조선해양,2024.01.01,2024년 첫 달 IPO '8개사' 출격…공모주 투심 이을까,https://www.news2day.co.kr/article/20231228500008
HD한국조선해양,2024.01.01,부방 주가 훨훨... 글로벌 조선 경기에 훈풍,https://www.pinpointnews.co.kr/news/articleView.html?idxno=235571
HD한국조선해양,2024.01.01,"‘청룡의 해’ 맞는 재계 총수들, 도전하는 리더가 주도...",https://www.asiatoday.co.kr/view.php?key=20231226010015968
HD한국조선해양,2024.01.01,美 2차전지 관련주 급락…韓 테마주에 외국인 코스모화학 '팔고' 에스코...,https://www.thekpm.com/news/articleView.html?idxno=186006
HD한국조선해양,2024.01.01,④ 반도체·조선업 살아나지만...이차전지 '둔화' 우려,https://www.ajunews.com/view/20231221151217285
