기업명,날짜,뉴스제목,URL
STX엔진,2024.01.01,케이에스피 주가 룰루랄라~...조선경기 회복세에 매수 들썩,https://www.pinpointnews.co.kr/news/articleView.html?idxno=235621
STX엔진,2024.01.01,부방 주가 훨훨... 글로벌 조선 경기에 훈풍,https://www.pinpointnews.co.kr/news/articleView.html?idxno=235571
STX엔진,2024.01.01,美 2차전지 관련주 급락…韓 테마주에 외국인 코스모화학 '팔고' 에스코...,https://www.thekpm.com/news/articleView.html?idxno=186006
STX엔진,2024.01.03,"""기업 구조조정 큰 장 선다…받아줄 하수도 확충해야""",http://www.edaily.co.kr/news/newspath.asp?newsid=01305446638754112
STX엔진,2024.01.03,"HD현대중공업, 조선 상장기업 1월...1위",http://www.beyondpost.co.kr/view.php?ud=202401030859161146a9e4dd7f_30
STX엔진,2024.01.03,"조선사 브랜드평판, HD현대중공업·삼성중공업 순",https://www.straightnews.co.kr/news/articleView.html?idxno=243277
STX엔진,2024.01.03,1위 HD현대중공업·2위 삼성중공업·3위 HD한...,https://www.gukjenews.com/news/articleView.html?idxno=2892287
STX엔진,2024.01.03,"HD현대중공업, 조선 상장기업 브랜드평판 1월 빅데이터 분석 톱",http://www.thebigdata.co.kr/view.php?ud=20240103081346410907d270612f_23
STX엔진,2024.01.03,"조선 상장기업 2024년 1월 빅데이터 1위 HD현대중공업, 2위...",https://www.cbci.co.kr/news/articleView.html?idxno=456172
STX엔진,2024.01.03,"HD현대중공업, 조선 브랜드평판 1위···삼성중공업·HD한국조선해양 뒤...",http://www.enetnews.co.kr/news/articleView.html?idxno=18768
STX엔진,2024.01.03,"조선 상장기업 브랜드평판 1월 빅데이터 분석결과...1위 HD현대중공업, ...",http://www.wsobi.com/news/articleView.html?idxno=226892
STX엔진,2024.01.03,한화시스템 주가 훨훨...호실적 기대감에 매수 활활,https://www.pinpointnews.co.kr/news/articleView.html?idxno=236138
STX엔진,2024.01.04,HSD엔진 주가 콧노래...조선 엔진업 시장 공급자 우위로,https://www.pinpointnews.co.kr/news/articleView.html?idxno=236368
STX엔진,2024.01.04,1위 삼성중공업 주가·2위 한화오션 주가·3위 현대미포조선 주가 1월 1...,http://www.stardailynews.co.kr/news/articleView.html?idxno=431419
STX엔진,2024.01.04,아이쓰리시스템 주가 들썩...미국 로봇업체 고스트로보틱스 지분 왜?,https://www.pinpointnews.co.kr/news/articleView.html?idxno=236401
STX엔진,2024.01.05,"한양대학교, K9 자주포용 1000마력급 엔진부품 국산화 연구개발 참여",https://www.lecturernews.com/news/articleView.html?idxno=143878
STX엔진,2024.01.05,꽃피운 K방산…국산화 숙원 이뤄 수출 효자로 키운다,https://economist.co.kr/article/view/ecn202401030019
STX엔진,2024.01.08,1285억 규모 엔진조립체 물품 구매계약,http://www.newsis.com/view/?id=NISX20240108_0002584719&cID=15001&pID=15000
STX엔진,2024.01.08,한화에어로스페이스와 1285억 규모 공급계약 체결,http://news.heraldcorp.com/view.php?ud=20240108000526
STX엔진,2024.01.08,한화에어로스페이스와 1285억 규모 공급계약 체결,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202401081442035840508
