기업명,날짜,뉴스제목,URL
세진중공업,2024.01.01,"현대힘스, 기업공개 추진...수요예측 흥행여부 관심 집중",http://www.g-enews.com/ko-kr/news/article/news_all/202312281455481587868af56dd7_1/article.html
세진중공업,2024.01.01,케이에스피 주가 룰루랄라~...조선경기 회복세에 매수 들썩,https://www.pinpointnews.co.kr/news/articleView.html?idxno=235621
세진중공업,2024.01.01,현대미포조선 주가 꿈틀...국제적 검사표준 개발 '잰걸음',https://www.pinpointnews.co.kr/news/articleView.html?idxno=235549
세진중공업,2024.01.02,임직원 일동 초록우산 성금,http://www.ujeil.com/news/articleView.html?idxno=339657
세진중공업,2024.01.02,취약 아동 성금 1000만원,https://www.ulsanpress.net/news/articleView.html?idxno=519243
세진중공업,2024.01.02,"농협, 윤리경영 '3행(行) 3무(無) 실천운동' 결의 등",http://www.newsis.com/view/?id=NISX20240102_0002578223&cID=10814&pID=10800
세진중공업,2024.01.03,"HD현대중공업, 조선 상장기업 1월...1위",http://www.beyondpost.co.kr/view.php?ud=202401030859161146a9e4dd7f_30
세진중공업,2024.01.03,"조선사 브랜드평판, HD현대중공업·삼성중공업 순",https://www.straightnews.co.kr/news/articleView.html?idxno=243277
세진중공업,2024.01.03,1위 HD현대중공업·2위 삼성중공업·3위 HD한...,https://www.gukjenews.com/news/articleView.html?idxno=2892287
세진중공업,2024.01.03,"HD현대중공업, 조선 상장기업 브랜드평판 1월 빅데이터 분석 톱",http://www.thebigdata.co.kr/view.php?ud=20240103081346410907d270612f_23
세진중공업,2024.01.03,"조선 상장기업 2024년 1월 빅데이터 1위 HD현대중공업, 2위...",https://www.cbci.co.kr/news/articleView.html?idxno=456172
세진중공업,2024.01.03,"HD현대중공업, 조선 브랜드평판 1위···삼성중공업·HD한국조선해양 뒤...",http://www.enetnews.co.kr/news/articleView.html?idxno=18768
세진중공업,2024.01.03,"조선 상장기업 브랜드평판 1월 빅데이터 분석결과...1위 HD현대중공업, ...",http://www.wsobi.com/news/articleView.html?idxno=226892
세진중공업,2024.01.03,한화오션·아름일렉트로닉스·한국앤컴퍼니·삼보산업·신일전자 등 하...,http://www.press9.kr/news/articleView.html?idxno=57777
세진중공업,2024.01.04,1위 삼성중공업 주가·2위 한화오션 주가·3위 현대미포조선 주가 1월 1...,http://www.stardailynews.co.kr/news/articleView.html?idxno=431419
세진중공업,2024.01.04,HSD엔진 주가 콧노래...조선 엔진업 시장 공급자 우위로,https://www.pinpointnews.co.kr/news/articleView.html?idxno=236368
세진중공업,2024.01.08,"'호실적' 앞세운 현대힘스, '400%' 흥행 사례 이을까",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202401041900015520106911
세진중공업,2024.01.08,"몸값 낮춘 현대힘스, '슈퍼사이클' 힘 더한다",https://dealsite.co.kr/articles/115970
세진중공업,2024.01.08,영남알프스 케이블카 반대 대책위 '내홍',http://www.ujeil.com/news/articleView.html?idxno=339992
세진중공업,2024.01.09,'대금 후려치기'  과징금 철퇴,https://view.asiae.co.kr/article/2024010915111659159
세진중공업,2024.01.09,'하도급대금 후려치기'···영세업체는 결국 폐업,http://www.koreastocknews.com/news/articleView.html?idxno=95901
세진중공업,2024.01.09,"공정위, ‘하도급대금 후려치기’ 에 2억2000만 부과",https://www.munhwa.com/news/view.html?no=2024010901039905292001
세진중공업,2024.01.09,하도급업체 단가 '부당 인하'…에 과징금 2.2억,http://www.newsworks.co.kr/news/articleView.html?idxno=739501
세진중공업,2024.01.09,하도급 업체는 문 닫았는데…  '2.2억 과징금' 합당한가,http://www.newswell.co.kr/news/articleView.html?idxno=9241
세진중공업,2024.01.09,"단가 인하 '갑질'에 폐업까지…공정위, 제재",https://www.tleaves.co.kr/news/articleView.html?idxno=5210
세진중공업,2024.01.09,"공정위, 하도급대금 후려치기 에 과징금 2억 2천만원",https://www.ulsanpress.net/news/articleView.html?idxno=519736
세진중공업,2024.01.09,"공정위, 반복적 부당 하도급대금 결정한  엄중 제재",http://www.intn.co.kr/news/articleView.html?idxno=2033237
세진중공업,2024.01.09,수조원대 대규모 투자 온산산단 지도 바꿨다,https://www.ulsanpress.net/news/articleView.html?idxno=519754
세진중공업,2024.01.09,삼영이엔씨 주가 힘찬 뱃고동...방위사업청과 무슨 일이?,https://www.pinpointnews.co.kr/news/articleView.html?idxno=237256
세진중공업,2024.01.09,"하도급 상대로 단가압박·임금삭감 , 공정위 과징금 '철퇴'",http://www.safetimes.co.kr/news/articleView.html?idxno=211661
세진중공업,2024.01.10,영세 하도급 업체 후려친 … 공정위 '철퇴',http://www.sisaweek.com/news/articleView.html?idxno=211093
세진중공업,2024.01.10,STX중공업 주가 꿈틀...419억 규모 선박엔진 공급 계약 실적개선 '모락모...,https://www.pinpointnews.co.kr/news/articleView.html?idxno=237628
세진중공업,2024.01.10,"1위 삼성중공업 주가, 2위 한화오션 주가, 3위 현대미포조선 주가... 1월...",https://www.cwn.kr/news/articleView.html?idxno=22582
세진중공업,2024.01.10,"씨에스베어링 주가 들썩...""실적 추이 지켜보며 베팅할 타이밍""",https://www.pinpointnews.co.kr/news/articleView.html?idxno=237634
세진중공업,2024.01.12,에이프로젠바이오로직스·우듬지팜·,https://www.ntoday.co.kr/news/articleView.html?idxno=102257
세진중공업,2024.01.12,"②무난한 밸류, 공모자금은 '미래'에",https://www.topdaily.kr/articles/96168
세진중공업,2024.01.12,1위 삼성중공업 주가·2위 한화오션 주가·3위 현대미포조선 주가 1월 2...,http://www.stardailynews.co.kr/news/articleView.html?idxno=432105
세진중공업,2024.01.12,SK디앤디 주가 불꽃...외국인 vs 기관 치열한 공방 '눈길',https://www.pinpointnews.co.kr/news/articleView.html?idxno=237920
세진중공업,2024.01.12,"현대힘스 26일 코스닥 데뷔…""조선업 슈퍼사이클 수혜 기대""",http://news.bizwatch.co.kr/article/market/2024/01/12/0017
세진중공업,2024.01.12,태광 주가 고개... 사우디 자푸라 프로젝트 등 대규모 프로젝트 주목,https://www.pinpointnews.co.kr/news/articleView.html?idxno=238148
세진중공업,2024.01.13,LS머티리얼즈 주가 덩실덩실...기관은 97만주 이상 대량 매물,https://www.pinpointnews.co.kr/news/articleView.html?idxno=238322
세진중공업,2024.01.14,동국S&C 주가 다시 움직이나...외국인은 10거래일 대량매수 폭발,https://www.pinpointnews.co.kr/news/articleView.html?idxno=238367
세진중공업,2024.01.15,'청룡의 해' IPO 시동…4개사 출격,http://www.inews24.com/view/1676364
세진중공업,2024.01.15,"美 증시, 기업실적 본격화 속 혼조…씨...",https://www.news2day.co.kr/article/20240114500070
세진중공업,2024.01.15,1월 12일 주식시장 주요공시,https://www.nbnews.kr/news/articleView.html?idxno=85568
세진중공업,2024.01.15,1월 15일 개장 전 주요공시,http://www.seoulfn.com/news/articleView.html?idxno=507529
세진중공업,2024.01.16,동국산업 주가 '훨훨'...향후 수주확대 기대 '파란불',https://www.pinpointnews.co.kr/news/articleView.html?idxno=238867
세진중공업,2024.01.17,"1위 삼성중공업 주가, 2위 한화오션 주가, 3위 현대미포조선 주가... 1월...",https://www.cwn.kr/news/articleView.html?idxno=23312
세진중공업,2024.01.19,1위 삼성중공업 주가·2위 한화오션 주가·3위 현대미포조선 주가 1월 3...,http://www.stardailynews.co.kr/news/articleView.html?idxno=432926
세진중공업,2024.01.19,"TSMC 훈풍에 반도체 '날았다'···코스피, 1% 넘게 상승",http://www.enewstoday.co.kr/news/articleView.html?idxno=2081185
세진중공업,2024.01.22,"페인트 분진 피해보상 요구, 주차 차주와 기업체 갈등",https://www.ksilbo.co.kr/news/articleView.html?idxno=990233
세진중공업,2024.01.23,"두산에너빌리티, 풍력에너지 브랜드평판 1위··...",http://www.enetnews.co.kr/news/articleView.html?idxno=19646
세진중공업,2024.01.23,'투자설명서' 읽어봐야 IPO 옥석 보인다,https://www.ajunews.com/view/20240122153954318
세진중공업,2024.01.24,"1위 삼성중공업 주가, 2위 한화오션 주가, 3위 현대미포조선 주가... 1월...",https://www.cwn.kr/news/articleView.html?idxno=24210
세진중공업,2024.01.25,"코스피, 외인·기관 매수에 강보합 마감… 코스닥 1.4% 하락",https://www.lcnews.co.kr/news/articleView.html?idxno=68227
세진중공업,2024.01.26,주가 훨훨...94억원 규모 자기주식 처분 주목,https://www.pinpointnews.co.kr/news/articleView.html?idxno=241022
세진중공업,2024.01.26,1위 삼성중공업 주가·2위 한화오션 주가·3위 현대미포조선 주가 1월 4...,http://www.stardailynews.co.kr/news/articleView.html?idxno=433732
세진중공업,2024.01.26,케이에스피 주가 힘차게 노젓는다...영업이익 240% 폭증,https://www.pinpointnews.co.kr/news/articleView.html?idxno=241098
세진중공업,2024.01.29,"세아제강지주 주가 방긋...""과도한 저평가 구간""",https://www.pinpointnews.co.kr/news/articleView.html?idxno=241586
세진중공업,2024.01.31,"1위 삼성중공업 주가, 2위 한화오션 주가, 3위 현대미포조선 주가... 1월...",https://www.cwn.kr/news/articleView.html?idxno=25038
세진중공업,2024.01.31,한국카본 주가 다시 움직이나... 안정적 수주물량 실적개선 '봄바람',https://www.pinpointnews.co.kr/news/articleView.html?idxno=242273
세진중공업,2024.02.02,"HD현대중공업, 조선 상장기업 2월...1위",http://www.beyondpost.co.kr/view.php?ud=20240202090711118746a9e4dd7f_30
세진중공업,2024.02.02,1위 HD현대중공업·2위 HD한국조선해양·3위...,https://www.gukjenews.com/news/articleView.html?idxno=2913735
세진중공업,2024.02.02,"HD현대중공업, 2월 조선 상장기업 브랜드평판 1위…2위 HD한국조선해양...",https://www.yeongnam.com/web/view.php?key=20240202001117042
세진중공업,2024.02.02,"조선 상장기업 2024년 2월 빅데이터 1위 HD현대중공업, 2위...",https://www.cbci.co.kr/news/articleView.html?idxno=458113
세진중공업,2024.02.02,"HD현대중공업, 조선 상장기업 브랜드평판 2월 톱…HD한국조선해양·삼성...",http://www.thebigdata.co.kr/view.php?ud=2024020207273930207d270612f_23
