날짜,종가,전일비,시가,고가,저가,거래량
2025-04-25,265500.0,16000.0,258500.0,265500.0,255000.0,591526
2025-04-24,249500.0,16000.0,233500.0,251000.0,230500.0,638799
2025-04-23,233500.0,3000.0,233000.0,236500.0,229000.0,186906
2025-04-22,230500.0,8500.0,222000.0,232000.0,222000.0,180717
2025-04-21,222000.0,-4000.0,224500.0,227500.0,217500.0,163783
2025-04-18,226000.0,-4000.0,232000.0,233000.0,223000.0,121058
2025-04-17,230000.0,4000.0,226000.0,231000.0,225000.0,169471
2025-04-16,226000.0,0.0,228500.0,230000.0,224500.0,149399
2025-04-15,226000.0,0.0,224000.0,226500.0,222000.0,154973
2025-04-14,226000.0,5000.0,225500.0,228000.0,222000.0,254854
2025-04-11,221000.0,8000.0,218000.0,221500.0,215500.0,299160
2025-04-10,213000.0,17500.0,207000.0,213500.0,203500.0,262869
2025-04-09,195500.0,3600.0,197000.0,204000.0,192000.0,306003
2025-04-08,191900.0,5700.0,191300.0,195300.0,190500.0,320962
2025-04-07,186200.0,-17800.0,191100.0,196000.0,185700.0,303590
2025-04-04,204000.0,-3500.0,203500.0,210500.0,199900.0,223104
2025-04-03,207500.0,1500.0,200000.0,207500.0,200000.0,200944
2025-04-02,206000.0,2500.0,205500.0,208500.0,200500.0,187881
2025-04-01,203500.0,2500.0,202500.0,205500.0,201000.0,219781
2025-03-31,201000.0,0.0,195100.0,202000.0,195100.0,206415
2025-03-28,201000.0,4600.0,196200.0,201000.0,194400.0,230365
2025-03-27,196400.0,-11100.0,209000.0,209000.0,196000.0,258843
2025-03-26,207500.0,500.0,209000.0,211000.0,202000.0,168519
2025-03-25,207000.0,-4000.0,212000.0,214000.0,206000.0,183485
2025-03-24,211000.0,-2500.0,211500.0,213500.0,209000.0,101445
2025-03-21,213500.0,4000.0,206500.0,213500.0,205000.0,327180
2025-03-20,209500.0,-9500.0,219500.0,220000.0,207500.0,341477
2025-03-19,219000.0,-1500.0,221000.0,223000.0,217500.0,218004
2025-03-18,220500.0,4000.0,218500.0,224500.0,218000.0,259810
2025-03-17,216500.0,2500.0,214500.0,218000.0,213000.0,232866
2025-03-14,214000.0,-500.0,213000.0,217500.0,211000.0,136430
2025-03-13,214500.0,2000.0,215500.0,221000.0,213000.0,310393
2025-03-12,212500.0,-4500.0,218000.0,224500.0,210000.0,444824
2025-03-11,217000.0,-16000.0,226000.0,229000.0,213000.0,566459
2025-03-10,233000.0,-500.0,233500.0,239500.0,228000.0,295671
2025-03-07,233500.0,-13000.0,247500.0,248500.0,233000.0,448650
2025-03-06,246500.0,-4500.0,248000.0,251000.0,245000.0,329079
2025-03-05,251000.0,15500.0,233000.0,253500.0,226500.0,895857
