날짜,종가,전일비,시가,고가,저가,거래량
2025-04-25,158100.0,900,159000.0,164300.0,157200.0,188989
2025-04-24,157200.0,-5300,162200.0,163300.0,154600.0,129491
2025-04-23,162500.0,1300,162600.0,163300.0,160200.0,41375
2025-04-22,161200.0,2000,155700.0,163500.0,155700.0,84830
2025-04-21,159200.0,-12300,170700.0,170700.0,159100.0,117993
2025-04-18,171500.0,4700,169600.0,173900.0,166100.0,127299
2025-04-17,166800.0,1500,165500.0,168500.0,163700.0,84014
2025-04-16,165300.0,0,166300.0,169900.0,162400.0,129671
2025-04-15,165300.0,-2200,163700.0,168100.0,161800.0,103384
2025-04-14,167500.0,10800,163400.0,168800.0,158900.0,218242
2025-04-11,156700.0,8800,149800.0,158400.0,149000.0,188198
2025-04-10,147900.0,12000,143100.0,148500.0,142000.0,85636
2025-04-09,135900.0,-6500,144700.0,146900.0,135300.0,59195
2025-04-08,142400.0,4300,141900.0,143600.0,140000.0,72751
2025-04-07,138100.0,-9500,142500.0,143200.0,138000.0,68855
2025-04-04,147600.0,-1100,145700.0,150700.0,145000.0,79051
2025-04-03,148700.0,800,146500.0,149500.0,141600.0,81589
2025-04-02,147900.0,8800,140600.0,147900.0,139600.0,122966
2025-04-01,139100.0,5300,135000.0,140000.0,135000.0,100274
2025-03-31,133800.0,-5600,135700.0,140600.0,133600.0,80541
2025-03-28,139400.0,1900,137500.0,140900.0,134000.0,112845
2025-03-27,137500.0,-4400,141900.0,142000.0,137500.0,88638
2025-03-26,141900.0,-2600,144500.0,144500.0,140600.0,68682
2025-03-25,144500.0,3800,141500.0,146000.0,141500.0,96450
2025-03-24,140700.0,-2000,142700.0,142700.0,140600.0,53105
2025-03-21,142700.0,-600,140000.0,145700.0,140000.0,108936
2025-03-20,143300.0,-5800,150600.0,150700.0,142800.0,109574
2025-03-19,149100.0,-6400,153500.0,156400.0,149100.0,131291
2025-03-18,155500.0,7700,150000.0,155600.0,147900.0,301388
2025-03-17,147800.0,5100,144600.0,148300.0,142900.0,156126
