날짜,종가,전일비,시가,고가,저가,거래량
2025-04-25,36750.0,2050.0,35650.0,37200.0,35050.0,1000466
2025-04-24,34700.0,900.0,33800.0,35900.0,33300.0,1036676
2025-04-23,33800.0,250.0,33750.0,33850.0,33000.0,339727
2025-04-22,33550.0,500.0,32300.0,33900.0,32300.0,475112
2025-04-21,33050.0,-900.0,33500.0,33950.0,32200.0,721969
2025-04-18,33950.0,-400.0,34650.0,34800.0,33150.0,496130
2025-04-17,34350.0,450.0,33800.0,34800.0,33500.0,567932
2025-04-16,33900.0,0.0,34100.0,34600.0,32950.0,612943
2025-04-15,33900.0,0.0,34850.0,35000.0,33300.0,895779
2025-04-14,33900.0,2700.0,32700.0,34000.0,32350.0,2184243
2025-04-11,31200.0,3050.0,28650.0,32050.0,28400.0,2609697
2025-04-10,28150.0,2000.0,27850.0,28300.0,27100.0,519019
2025-04-09,26150.0,-550.0,27500.0,27550.0,25500.0,514494
2025-04-08,26700.0,1800.0,26100.0,26950.0,25550.0,380892
2025-04-07,24900.0,-3000.0,26500.0,26800.0,24750.0,478374
2025-04-04,27900.0,-50.0,27450.0,28900.0,26900.0,409153
2025-04-03,27950.0,50.0,27050.0,28100.0,27050.0,411695
2025-04-02,27900.0,650.0,27900.0,28600.0,27150.0,504026
2025-04-01,27250.0,750.0,27000.0,27300.0,26600.0,255709
2025-03-31,26500.0,950.0,24900.0,26800.0,24900.0,500618
2025-03-28,25550.0,650.0,24850.0,25700.0,24500.0,484937
2025-03-27,24900.0,-1550.0,26450.0,26700.0,24850.0,609170
2025-03-26,26450.0,-600.0,27000.0,27050.0,26000.0,491323
2025-03-25,27050.0,-800.0,28200.0,28800.0,26800.0,662258
2025-03-24,27850.0,-900.0,28150.0,28450.0,27700.0,316676
2025-03-21,28750.0,1300.0,26700.0,28800.0,26650.0,652097
2025-03-20,27450.0,-1650.0,29100.0,29250.0,27350.0,965836
2025-03-19,29100.0,-400.0,29500.0,30050.0,28850.0,531634
2025-03-18,29500.0,1450.0,28100.0,30650.0,27950.0,2805128
2025-03-17,28050.0,-450.0,28600.0,28700.0,27800.0,775611
2025-03-14,28500.0,-550.0,28800.0,29200.0,28300.0,538755
2025-03-13,29050.0,1350.0,28550.0,30350.0,28050.0,2867225
2025-03-12,27700.0,-1700.0,29150.0,29650.0,27400.0,1589921
2025-03-11,29400.0,-350.0,28700.0,30050.0,28150.0,2068205
2025-03-10,29750.0,3900.0,27200.0,30850.0,26900.0,9804881
2025-03-07,25850.0,-650.0,26250.0,26800.0,25650.0,547394
2025-03-06,26500.0,1250.0,26000.0,26850.0,25250.0,891604
2025-03-05,25250.0,100.0,25150.0,25600.0,24150.0,779474
2025-03-04,25150.0,600.0,24550.0,25500.0,24400.0,591496
2025-02-28,24550.0,-850.0,25000.0,25350.0,24500.0,493734
2025-02-27,25400.0,-700.0,26100.0,26400.0,24950.0,525022
2025-02-26,26100.0,-900.0,27150.0,27400.0,25950.0,463202
2025-02-25,27000.0,450.0,26250.0,27250.0,26100.0,484382
2025-02-24,26550.0,-350.0,26800.0,27350.0,25800.0,532104
2025-02-21,26900.0,-550.0,26850.0,27400.0,26350.0,832943
2025-02-20,27450.0,-2600.0,29250.0,29300.0,27100.0,1314913
2025-02-19,30050.0,550.0,29900.0,30950.0,29250.0,1013029
2025-02-18,29500.0,650.0,29000.0,29800.0,28250.0,668044
2025-02-17,28850.0,1250.0,27650.0,29300.0,27450.0,768492
2025-02-14,27600.0,-1200.0,29150.0,30150.0,27150.0,1082773
2025-02-13,28800.0,700.0,28500.0,29000.0,27750.0,777943
2025-02-12,28100.0,500.0,27650.0,28500.0,27450.0,1140794
2025-02-11,27600.0,950.0,26550.0,28200.0,26500.0,654213
2025-02-10,26650.0,-1500.0,27700.0,28950.0,26500.0,738320
2025-02-07,28150.0,500.0,27800.0,28250.0,26300.0,664488
2025-02-06,27650.0,-850.0,28400.0,29750.0,27200.0,1045328
2025-02-05,28500.0,-1150.0,29900.0,29950.0,28000.0,828163
2025-02-04,29650.0,2100.0,27900.0,30250.0,27350.0,904181
2025-02-03,27550.0,-450.0,27300.0,28100.0,27200.0,456340
2025-01-31,28000.0,650.0,27000.0,28350.0,26950.0,494372
2025-01-24,27350.0,550.0,26850.0,27650.0,26500.0,496611
2025-01-23,26800.0,-1400.0,28200.0,28850.0,26450.0,1091291
2025-01-22,28200.0,-450.0,29000.0,29450.0,28000.0,839887
2025-01-21,28650.0,1400.0,27350.0,28700.0,27300.0,795730
2025-01-20,27250.0,-250.0,27000.0,28100.0,26800.0,561726
2025-01-17,27500.0,0.0,27500.0,28250.0,26700.0,680597
2025-01-16,27500.0,-350.0,27850.0,28000.0,26600.0,985134
2025-01-15,27850.0,1000.0,26600.0,29400.0,26550.0,2225089
2025-01-14,26850.0,850.0,26350.0,27300.0,26250.0,1110869
2025-01-13,26000.0,-1000.0,27000.0,27050.0,25850.0,1214172
2025-01-10,27000.0,1150.0,26000.0,27350.0,25550.0,1654398
2025-01-09,25850.0,50.0,25850.0,26500.0,25400.0,694014
2025-01-08,25800.0,1700.0,25150.0,26100.0,24550.0,2090698
2025-01-07,24100.0,-100.0,24500.0,24900.0,23750.0,845247
2025-01-06,24200.0,-400.0,24500.0,24500.0,23300.0,655762
2025-01-03,24600.0,-1700.0,26300.0,26700.0,24300.0,1018200
2025-01-02,26300.0,1850.0,24600.0,26550.0,24600.0,806979
2024-12-30,24450.0,-50.0,24000.0,24750.0,23700.0,395614
2024-12-27,24500.0,-400.0,24700.0,25200.0,24100.0,484217
2024-12-26,24900.0,900.0,24600.0,25100.0,24200.0,777638
2024-12-24,24000.0,350.0,23900.0,24100.0,23100.0,570283
2024-12-23,23650.0,100.0,23700.0,24500.0,23500.0,682253
2024-12-20,23550.0,50.0,24000.0,24200.0,23250.0,891345
2024-12-19,23500.0,1700.0,21050.0,23500.0,21000.0,1383401
2024-12-18,21800.0,0.0,21600.0,23000.0,21600.0,626325
2024-12-17,21800.0,200.0,21450.0,21950.0,21050.0,370229
2024-12-16,21600.0,-150.0,21900.0,22250.0,21300.0,472786
2024-12-13,21750.0,1500.0,20300.0,21950.0,19960.0,995183
2024-12-12,20250.0,270.0,20200.0,20250.0,19550.0,258356
2024-12-11,19980.0,1230.0,18770.0,20100.0,18660.0,589171
2024-12-10,18750.0,1580.0,17020.0,19100.0,17020.0,504865
2024-12-09,17170.0,-750.0,17500.0,17670.0,17000.0,365228
2024-12-06,17920.0,-450.0,18250.0,18290.0,17230.0,576899
