날짜,종가,전일비,시가,고가,저가,거래량
2025-04-25,163500.0,5000.0,158600.0,164700.0,158500.0,743766
2025-04-24,158500.0,20800.0,137300.0,158500.0,136200.0,1731192
2025-04-23,137700.0,4100.0,135000.0,139100.0,132100.0,387758
2025-04-22,133600.0,3600.0,128000.0,134500.0,128000.0,326287
2025-04-21,130000.0,-4200.0,131400.0,132000.0,126000.0,485705
2025-04-18,134200.0,-800.0,137600.0,137900.0,130800.0,290761
2025-04-17,135000.0,3100.0,132900.0,135500.0,131100.0,305130
2025-04-16,131900.0,-1400.0,132700.0,134300.0,130800.0,277192
2025-04-15,133300.0,1200.0,131000.0,133800.0,130400.0,234847
2025-04-14,132100.0,2600.0,133600.0,133600.0,129100.0,493164
2025-04-11,129500.0,6300.0,125200.0,129900.0,125000.0,537715
2025-04-10,123200.0,7300.0,122000.0,124100.0,119700.0,524429
2025-04-09,115900.0,-2300.0,121700.0,122000.0,114500.0,447795
2025-04-08,118200.0,7400.0,115100.0,119100.0,113900.0,366130
2025-04-07,110800.0,-5300.0,112100.0,113000.0,108800.0,388142
2025-04-04,116100.0,-1300.0,116300.0,120300.0,114100.0,455586
2025-04-03,117400.0,1700.0,113000.0,118500.0,112900.0,403846
2025-04-02,115700.0,1800.0,115000.0,118200.0,112600.0,532266
2025-04-01,113900.0,8500.0,107300.0,114300.0,107300.0,724379
2025-03-31,105400.0,3400.0,99500.0,107400.0,99500.0,438295
2025-03-28,102000.0,1300.0,100700.0,102300.0,99500.0,202765
2025-03-27,100700.0,-3900.0,104400.0,105000.0,100500.0,219198
2025-03-26,104600.0,1400.0,103000.0,104700.0,101000.0,281504
2025-03-25,103200.0,-2000.0,104500.0,105300.0,102800.0,192769
2025-03-24,105200.0,-1600.0,106500.0,107000.0,102900.0,173608
2025-03-21,106800.0,1600.0,104400.0,107200.0,103100.0,240141
2025-03-20,105200.0,-2300.0,107600.0,107900.0,103900.0,243984
2025-03-19,107500.0,-1000.0,108800.0,109250.0,106000.0,255026
2025-03-18,108500.0,500.0,108000.0,109600.0,106400.0,267078
2025-03-17,108000.0,4300.0,104500.0,109200.0,103100.0,399117
2025-03-14,103700.0,-1300.0,104800.0,106100.0,103100.0,166092
2025-03-13,105000.0,2400.0,103800.0,106500.0,103500.0,356840
2025-03-12,102600.0,700.0,102700.0,108600.0,102000.0,515525
2025-03-11,101900.0,-6500.0,105500.0,105600.0,101100.0,486797
2025-03-10,108400.0,-1900.0,109200.0,110600.0,106600.0,230725
2025-03-07,110300.0,-1700.0,112000.0,112800.0,110000.0,227436
2025-03-06,112000.0,-2100.0,114200.0,115300.0,112000.0,299914
2025-03-05,114100.0,5500.0,107500.0,115400.0,106000.0,893407
2025-03-04,108600.0,3600.0,106000.0,109300.0,105700.0,428221
2025-02-28,105000.0,-2100.0,105000.0,107300.0,104100.0,326814
2025-02-27,107100.0,-1700.0,109000.0,109000.0,105300.0,452963
2025-02-26,108800.0,-3500.0,113300.0,114300.0,108300.0,428104
2025-02-25,112300.0,2600.0,109800.0,113200.0,108000.0,400007
2025-02-24,109700.0,1600.0,111200.0,114400.0,108800.0,681518
2025-02-21,108100.0,200.0,105500.0,108800.0,105100.0,403112
2025-02-20,107900.0,-8600.0,116400.0,116400.0,107800.0,929210
2025-02-19,116500.0,4700.0,112000.0,119400.0,111900.0,1091800
2025-02-18,111800.0,1000.0,111000.0,112900.0,108400.0,428870
2025-02-17,110800.0,1200.0,109400.0,112400.0,108700.0,373673
2025-02-14,109600.0,-4200.0,113800.0,114500.0,108000.0,722484
