날짜,종가,전일비,시가,고가,저가,거래량
2025-04-25,23600.0,1000.0,23000.0,23800.0,22650.0,349603
2025-04-24,22600.0,450.0,22200.0,22650.0,21800.0,219891
2025-04-23,22150.0,100.0,22400.0,22400.0,21950.0,111151
2025-04-22,22050.0,300.0,21300.0,22300.0,21300.0,127543
2025-04-21,21750.0,-850.0,22850.0,22950.0,21350.0,196246
2025-04-18,22600.0,300.0,22500.0,22650.0,21850.0,216707
2025-04-17,22300.0,400.0,21750.0,22500.0,21750.0,155407
2025-04-16,21900.0,-450.0,22350.0,22700.0,21800.0,148929
2025-04-15,22350.0,450.0,22300.0,22550.0,21850.0,225583
2025-04-14,21900.0,350.0,22150.0,22250.0,21550.0,197450
2025-04-11,21550.0,1200.0,21150.0,22200.0,21000.0,445500
2025-04-10,20350.0,1260.0,20300.0,20550.0,19900.0,164051
2025-04-09,19090.0,-140.0,19900.0,19900.0,18600.0,150903
2025-04-08,19230.0,920.0,18970.0,19600.0,18740.0,221205
2025-04-07,18310.0,-1890.0,19400.0,19400.0,18310.0,318589
2025-04-04,20200.0,-500.0,20300.0,20950.0,19900.0,218248
2025-04-03,20700.0,200.0,19900.0,21050.0,19710.0,170504
2025-04-02,20500.0,-800.0,21100.0,21250.0,20250.0,230277
2025-04-01,21300.0,500.0,20800.0,21450.0,20100.0,234412
2025-03-31,20800.0,350.0,19920.0,20900.0,19800.0,225080
2025-03-28,20450.0,-650.0,21100.0,21200.0,20100.0,503674
2025-03-27,21100.0,-2100.0,20150.0,21650.0,19620.0,1505516
2025-03-26,23200.0,-900.0,24100.0,24150.0,22675.0,494625
2025-03-25,24100.0,-550.0,24650.0,24950.0,23200.0,353861
2025-03-24,24650.0,-700.0,25050.0,25450.0,24600.0,184057
2025-03-21,25350.0,850.0,24500.0,25600.0,23950.0,426181
2025-03-20,24500.0,-2100.0,26600.0,26600.0,23950.0,855521
2025-03-19,26600.0,-300.0,27150.0,27350.0,26250.0,392033
2025-03-18,26900.0,1150.0,26000.0,27500.0,25750.0,1137392
2025-03-17,25750.0,200.0,25550.0,26250.0,24750.0,327003
2025-03-14,25550.0,100.0,25500.0,25900.0,25150.0,186671
2025-03-13,25450.0,1050.0,24600.0,25600.0,24600.0,354357
2025-03-12,24400.0,-1750.0,26350.0,26550.0,24200.0,752216
2025-03-11,26150.0,-1100.0,26300.0,26650.0,25750.0,455103
2025-03-10,27250.0,300.0,27400.0,27800.0,26000.0,975539
2025-03-07,26950.0,850.0,26800.0,27400.0,26100.0,770714
2025-03-06,26100.0,0.0,26400.0,26950.0,25750.0,691033
2025-03-05,26100.0,300.0,26150.0,26400.0,25150.0,469135
2025-03-04,25800.0,1650.0,24400.0,26200.0,24350.0,1013430
2025-02-28,24150.0,-1000.0,24700.0,25400.0,23900.0,768467
2025-02-27,25150.0,-4000.0,26500.0,26700.0,24800.0,1979308
2025-02-26,29150.0,1050.0,28650.0,29450.0,27550.0,1143614
2025-02-25,28100.0,1200.0,26350.0,28350.0,26300.0,545561
2025-02-24,26900.0,-750.0,27000.0,27800.0,26050.0,374500
2025-02-21,27650.0,900.0,26500.0,28100.0,25950.0,517985
2025-02-20,26750.0,-2200.0,28800.0,28800.0,26300.0,1030617
2025-02-19,28950.0,-1050.0,30000.0,30050.0,28500.0,920033
2025-02-18,30000.0,3450.0,25950.0,31650.0,25650.0,3103094
2025-02-17,26550.0,650.0,26000.0,27000.0,25700.0,1507837
2025-02-14,25900.0,-950.0,26850.0,27150.0,25500.0,738914
2025-02-13,26850.0,1100.0,25850.0,27650.0,25250.0,1600483
2025-02-12,25750.0,2750.0,23000.0,26500.0,22800.0,3020986
2025-02-11,23000.0,1600.0,21550.0,23350.0,21400.0,775452
2025-02-10,21400.0,-600.0,21850.0,22800.0,21300.0,359134
2025-02-07,22000.0,-350.0,22450.0,22450.0,21850.0,244681
2025-02-06,22350.0,50.0,22400.0,23100.0,21950.0,451278
2025-02-05,22300.0,-1000.0,23350.0,23400.0,22050.0,419084
2025-02-04,23300.0,1350.0,22350.0,23700.0,22050.0,540861
2025-02-03,21950.0,-600.0,22350.0,22500.0,21550.0,255990
2025-01-31,22550.0,-400.0,22850.0,23550.0,22450.0,264031
2025-01-24,22950.0,600.0,22350.0,23350.0,22300.0,392923
2025-01-23,22350.0,-1900.0,23200.0,23900.0,22250.0,783601
2025-01-22,24250.0,-350.0,24500.0,25550.0,24050.0,1080626
2025-01-21,24600.0,400.0,24400.0,24950.0,23950.0,548865
2025-01-20,24200.0,650.0,23150.0,24250.0,22800.0,485307
2025-01-17,23550.0,-300.0,23650.0,24000.0,22600.0,389864
2025-01-16,23850.0,100.0,24050.0,24050.0,23150.0,474623
2025-01-15,23750.0,550.0,23150.0,24800.0,23000.0,971716
