날짜,종가,전일비,시가,고가,저가,거래량
2025-04-25,14720.0,130.0,14500.0,14900.0,14270.0,14117412
2025-04-24,14590.0,290.0,14310.0,14600.0,14020.0,6597321
2025-04-23,14300.0,200.0,14210.0,14330.0,14070.0,3820358
2025-04-22,14100.0,110.0,13840.0,14180.0,13840.0,4738010
2025-04-21,13990.0,-530.0,14520.0,14530.0,13920.0,9035695
2025-04-18,14520.0,-380.0,15010.0,15150.0,14370.0,7886520
2025-04-17,14900.0,410.0,14570.0,14900.0,14560.0,6465940
2025-04-16,14490.0,-50.0,14550.0,14830.0,14370.0,5931178
2025-04-15,14540.0,90.0,14550.0,14620.0,14400.0,4038501
2025-04-14,14450.0,-50.0,14810.0,14820.0,14370.0,6055197
2025-04-11,14500.0,550.0,14150.0,14520.0,14090.0,10701486
2025-04-10,13950.0,910.0,13790.0,13990.0,13540.0,8268063
2025-04-09,13040.0,-180.0,13530.0,13610.0,12930.0,7249419
2025-04-08,13220.0,500.0,13040.0,13350.0,12780.0,7087137
2025-04-07,12720.0,-1000.0,13170.0,13180.0,12650.0,7764209
2025-04-04,13720.0,-290.0,13790.0,14230.0,13380.0,9496140
2025-04-03,14010.0,130.0,13600.0,14030.0,13550.0,6798766
2025-04-02,13880.0,-170.0,14110.0,14160.0,13800.0,4760760
2025-04-01,14050.0,570.0,13710.0,14100.0,13690.0,5701503
2025-03-31,13480.0,-350.0,13460.0,13810.0,13270.0,6953048
2025-03-28,13830.0,60.0,13760.0,13950.0,13560.0,5394036
2025-03-27,13770.0,-300.0,14390.0,14400.0,13720.0,8427365
2025-03-26,14070.0,70.0,13910.0,14190.0,13850.0,5526680
2025-03-25,14000.0,-670.0,14650.0,14740.0,13960.0,8624345
2025-03-24,14670.0,90.0,14600.0,14740.0,14480.0,4698983
2025-03-21,14580.0,40.0,14450.0,14690.0,14140.0,10733577
2025-03-20,14540.0,-670.0,15330.0,15330.0,14530.0,14987688
2025-03-19,15210.0,-230.0,15480.0,15840.0,15120.0,17296217
2025-03-18,15440.0,650.0,14970.0,15450.0,14860.0,26324577
2025-03-17,14790.0,470.0,14430.0,15140.0,14260.0,20321168
2025-03-14,14320.0,240.0,14160.0,14430.0,14090.0,8537547
2025-03-13,14080.0,-280.0,14550.0,14850.0,14050.0,19036020
2025-03-12,14360.0,140.0,14740.0,15490.0,14220.0,49016196
2025-03-11,14220.0,-310.0,14000.0,14280.0,13770.0,13593507
2025-03-10,14530.0,-330.0,15010.0,15040.0,14240.0,12163860
2025-03-07,14860.0,-80.0,14740.0,15090.0,14580.0,11696479
2025-03-06,14940.0,-60.0,14990.0,15265.0,14660.0,16372769
2025-03-05,15000.0,760.0,14400.0,15150.0,14000.0,33447308
2025-03-04,14240.0,290.0,14120.0,14760.0,14030.0,21833027
2025-02-28,13950.0,-1070.0,14720.0,15000.0,13950.0,21347885
2025-02-27,15020.0,70.0,14920.0,15100.0,14450.0,14547065
2025-02-26,14950.0,-100.0,15390.0,15620.0,14740.0,27033764
2025-02-25,15050.0,1140.0,13970.0,15190.0,13720.0,47508639
2025-02-24,13910.0,540.0,13450.0,14400.0,13080.0,37276349
2025-02-21,13370.0,-220.0,13290.0,13570.0,13150.0,13079911
2025-02-20,13590.0,-1140.0,14680.0,14680.0,13500.0,31385870
2025-02-19,14730.0,1800.0,12950.0,15220.0,12870.0,70378157
2025-02-18,12930.0,220.0,12830.0,12980.0,12770.0,10215821
2025-02-17,12710.0,0.0,12720.0,12920.0,12620.0,7181439
2025-02-14,12710.0,-700.0,13440.0,13440.0,12620.0,15311815
2025-02-13,13410.0,-50.0,13600.0,13690.0,13190.0,13407597
2025-02-12,13460.0,760.0,12720.0,13490.0,12720.0,18472865
2025-02-11,12700.0,110.0,12690.0,12890.0,12470.0,7522540
2025-02-10,12590.0,-180.0,12710.0,13190.0,12520.0,9259813
2025-02-07,12770.0,-180.0,12910.0,12930.0,12630.0,6918096
2025-02-06,12950.0,-450.0,13100.0,13340.0,12770.0,16568228
2025-02-05,13400.0,50.0,13540.0,13630.0,13100.0,9529635
2025-02-04,13350.0,410.0,13100.0,13450.0,12950.0,9177720
2025-02-03,12940.0,-70.0,12800.0,13080.0,12750.0,5261381
2025-01-31,13010.0,100.0,13000.0,13270.0,12900.0,7145165
2025-01-24,12910.0,180.0,12790.0,13080.0,12700.0,7043782
2025-01-23,12730.0,-570.0,13300.0,13340.0,12700.0,12660592
2025-01-22,13300.0,-370.0,13670.0,13810.0,13230.0,10818247
2025-01-21,13670.0,180.0,13580.0,13860.0,13530.0,14222288
2025-01-20,13490.0,-50.0,13590.0,13590.0,13130.0,10569926
2025-01-17,13540.0,190.0,13370.0,13670.0,13120.0,12233920
2025-01-16,13350.0,350.0,13010.0,13350.0,12850.0,18099325
2025-01-15,13000.0,1150.0,11920.0,13350.0,11860.0,39256225
2025-01-14,11850.0,150.0,11760.0,12140.0,11760.0,8239384
