날짜,종가,전일비,시가,고가,저가,거래량
2025-04-25,8780.0,100.0,8890.0,8970.0,8640.0,556001
2025-04-24,8680.0,370.0,8310.0,8710.0,8140.0,699050
2025-04-23,8310.0,-10.0,8410.0,8410.0,8270.0,109595
2025-04-22,8320.0,30.0,8190.0,8430.0,8180.0,211845
2025-04-21,8290.0,-190.0,8490.0,8530.0,8110.0,390526
2025-04-18,8480.0,-20.0,8630.0,8710.0,8330.0,336868
2025-04-17,8500.0,70.0,8550.0,8610.0,8370.0,306009
2025-04-16,8430.0,-170.0,8500.0,8580.0,8310.0,354327
2025-04-15,8600.0,-20.0,8640.0,8670.0,8400.0,460028
2025-04-14,8620.0,730.0,8270.0,8650.0,8090.0,1182855
2025-04-11,7890.0,200.0,7800.0,8050.0,7750.0,760177
2025-04-10,7690.0,690.0,7360.0,7720.0,7210.0,628467
2025-04-09,7000.0,150.0,6950.0,7120.0,6820.0,357940
2025-04-08,6850.0,430.0,6600.0,6990.0,6530.0,388659
2025-04-07,6420.0,-490.0,6680.0,6740.0,6410.0,317220
2025-04-04,6910.0,70.0,6790.0,7130.0,6760.0,250580
2025-04-03,6840.0,40.0,6660.0,6880.0,6610.0,178845
2025-04-02,6800.0,0.0,6950.0,6950.0,6700.0,282054
2025-04-01,6800.0,220.0,6740.0,6880.0,6690.0,330412
2025-03-31,6580.0,-210.0,6650.0,6880.0,6570.0,279686
2025-03-28,6790.0,-160.0,6900.0,6960.0,6710.0,344795
2025-03-27,6950.0,-190.0,7160.0,7190.0,6930.0,355695
2025-03-26,7140.0,80.0,7020.0,7180.0,6970.0,315419
2025-03-25,7060.0,-180.0,7240.0,7310.0,7050.0,390734
2025-03-24,7240.0,-220.0,7460.0,7530.0,7230.0,564086
2025-03-21,7460.0,-100.0,7560.0,7650.0,7440.0,477899
2025-03-20,7560.0,-160.0,7840.0,7870.0,7540.0,602239
2025-03-19,7720.0,-290.0,7960.0,8050.0,7670.0,835720
2025-03-18,8010.0,150.0,7940.0,8110.0,7850.0,505715
2025-03-17,7860.0,130.0,7790.0,7950.0,7640.0,479738
2025-03-14,7730.0,80.0,7640.0,7770.0,7560.0,293654
2025-03-13,7650.0,10.0,7650.0,7830.0,7560.0,413976
2025-03-12,7640.0,-220.0,7930.0,8040.0,7520.0,999604
2025-03-11,7860.0,-140.0,7760.0,7880.0,7620.0,593006
2025-03-10,8000.0,-140.0,8170.0,8200.0,7890.0,555849
2025-03-07,8140.0,-200.0,8290.0,8340.0,8040.0,658220
2025-03-06,8340.0,-120.0,8460.0,8580.0,8330.0,382334
2025-03-05,8460.0,-40.0,8430.0,8680.0,8240.0,828691
2025-03-04,8500.0,70.0,8430.0,8720.0,8300.0,782682
2025-02-28,8430.0,80.0,8130.0,8430.0,8130.0,379850
2025-02-27,8350.0,-250.0,8640.0,8720.0,8250.0,427980
2025-02-26,8600.0,-120.0,8790.0,8970.0,8570.0,398978
2025-02-25,8720.0,160.0,8560.0,8790.0,8460.0,515096
2025-02-24,8560.0,-100.0,8590.0,8680.0,8380.0,447412
2025-02-21,8660.0,-50.0,8510.0,8690.0,8430.0,414347
2025-02-20,8710.0,-690.0,9400.0,9400.0,8570.0,1382012
2025-02-19,9400.0,250.0,9160.0,9600.0,9000.0,1060999
2025-02-18,9150.0,200.0,8980.0,9320.0,8800.0,756028
2025-02-17,8950.0,80.0,8910.0,9170.0,8790.0,588914
2025-02-14,8870.0,-220.0,9020.0,9060.0,8710.0,618847
2025-02-13,9090.0,340.0,8900.0,9270.0,8760.0,977364
2025-02-12,8750.0,420.0,8410.0,8830.0,8410.0,744509
2025-02-11,8330.0,90.0,8270.0,8450.0,8250.0,356970
2025-02-10,8240.0,-260.0,8350.0,8660.0,8150.0,554379
2025-02-07,8500.0,-70.0,8580.0,8590.0,8240.0,386533
2025-02-06,8570.0,-250.0,8820.0,8940.0,8490.0,647654
2025-02-05,8820.0,-260.0,9170.0,9180.0,8760.0,417418
2025-02-04,9080.0,290.0,8790.0,9100.0,8760.0,286036
2025-02-03,8790.0,-110.0,8720.0,8980.0,8610.0,354110
2025-01-31,8900.0,0.0,8940.0,9090.0,8840.0,300616
2025-01-24,8900.0,180.0,8680.0,8930.0,8530.0,338112
2025-01-23,8720.0,-500.0,9170.0,9200.0,8670.0,972458
2025-01-22,9220.0,-220.0,9550.0,9560.0,9150.0,858687
2025-01-21,9440.0,300.0,9130.0,9520.0,9130.0,885803
2025-01-20,9140.0,-120.0,9210.0,9280.0,9060.0,479512
2025-01-17,9260.0,120.0,9100.0,9330.0,8930.0,603375
2025-01-16,9140.0,-210.0,9360.0,9380.0,9040.0,762924
2025-01-15,9350.0,290.0,9140.0,9600.0,9110.0,1294493
2025-01-14,9060.0,30.0,9010.0,9360.0,8960.0,907249
2025-01-13,9030.0,-160.0,9230.0,9230.0,8730.0,772755
2025-01-10,9190.0,300.0,8890.0,9220.0,8750.0,698720
2025-01-09,8890.0,-90.0,8980.0,8990.0,8660.0,504286
2025-01-08,8980.0,-10.0,8990.0,9040.0,8770.0,625323
2025-01-07,8990.0,530.0,8510.0,9070.0,8460.0,1121720
2025-01-06,8460.0,-30.0,8430.0,8520.0,8220.0,311047
2025-01-03,8490.0,-260.0,8760.0,8990.0,8360.0,694792
2025-01-02,8750.0,310.0,8440.0,8800.0,8360.0,460507
2024-12-30,8440.0,-20.0,8320.0,8590.0,8250.0,282360
2024-12-27,8460.0,-120.0,8450.0,8540.0,8170.0,550031
2024-12-26,8580.0,40.0,8630.0,8830.0,8540.0,716812
2024-12-24,8540.0,50.0,8500.0,8880.0,8440.0,803873
2024-12-23,8490.0,190.0,8470.0,8630.0,8250.0,631203
2024-12-20,8300.0,-190.0,8580.0,8580.0,8150.0,692640
2024-12-19,8490.0,390.0,7750.0,8570.0,7750.0,1127980
2024-12-18,8100.0,200.0,7800.0,8280.0,7800.0,794846
2024-12-17,7900.0,-40.0,7930.0,8200.0,7820.0,356550
2024-12-16,7940.0,-250.0,8240.0,8240.0,7850.0,467867
2024-12-13,8190.0,160.0,7950.0,8250.0,7820.0,614687
2024-12-12,8030.0,-30.0,8100.0,8100.0,7860.0,419035
2024-12-11,8060.0,660.0,7400.0,8100.0,7310.0,878763
2024-12-10,7400.0,430.0,6970.0,7400.0,6970.0,449558
2024-12-09,6970.0,-230.0,6980.0,7070.0,6840.0,463313
2024-12-06,7200.0,-160.0,7290.0,7350.0,6850.0,636131
2024-12-05,7360.0,-290.0,7730.0,7730.0,7360.0,398618
2024-12-04,7650.0,-160.0,7530.0,7770.0,7260.0,597699
2024-12-03,7810.0,150.0,7570.0,7870.0,7570.0,371847
2024-12-02,7660.0,-250.0,7970.0,7970.0,7450.0,644087
2024-11-29,7910.0,-220.0,8130.0,8170.0,7790.0,483561
2024-11-28,8130.0,-290.0,8330.0,8540.0,8070.0,560923
2024-11-27,8420.0,40.0,8400.0,8630.0,8290.0,661824
2024-11-26,8380.0,-80.0,8660.0,8660.0,8170.0,643113
2024-11-25,8460.0,240.0,8290.0,8700.0,8150.0,1677983
2024-11-22,8220.0,780.0,7430.0,8320.0,7420.0,2269338
2024-11-21,7440.0,-260.0,7740.0,7740.0,7320.0,940948
2024-11-20,7700.0,550.0,7210.0,7800.0,7210.0,1354320
2024-11-19,7150.0,330.0,6810.0,7270.0,6740.0,805489
2024-11-18,6820.0,300.0,6520.0,6870.0,6480.0,542245
2024-11-15,6520.0,-1000.0,6920.0,7160.0,6380.0,2295190
2024-11-14,7520.0,360.0,7100.0,7550.0,7100.0,918332
2024-11-13,7160.0,-140.0,7190.0,7290.0,6970.0,555666
2024-11-12,7300.0,-140.0,7530.0,7560.0,7290.0,604720
2024-11-11,7440.0,230.0,7370.0,7600.0,7270.0,997206
2024-11-08,7210.0,-370.0,7720.0,7760.0,7050.0,1501445
2024-11-07,7580.0,480.0,7150.0,7720.0,7050.0,1926698
2024-11-06,7100.0,250.0,6880.0,7130.0,6770.0,354375
2024-11-05,6850.0,40.0,6850.0,7020.0,6710.0,186974
2024-11-04,6810.0,100.0,6650.0,6810.0,6600.0,320142
2024-11-01,6710.0,-60.0,6750.0,6810.0,6520.0,252611
2024-10-31,6770.0,-240.0,7020.0,7020.0,6690.0,510679
2024-10-30,7010.0,-130.0,7100.0,7200.0,6980.0,254947
