날짜,종가,전일비,시가,고가,저가,거래량
2025-04-25,27150.0,650.0,26900.0,27500.0,26600.0,2121725
2025-04-24,26500.0,150.0,26450.0,26750.0,25950.0,1161603
2025-04-23,26350.0,500.0,26150.0,26850.0,25500.0,1475342
2025-04-22,25850.0,1450.0,24000.0,26100.0,24000.0,2825990
2025-04-21,24400.0,-750.0,25450.0,25600.0,24200.0,770094
2025-04-18,25150.0,-100.0,25550.0,25550.0,24650.0,593002
2025-04-17,25250.0,500.0,24850.0,25400.0,24500.0,689639
2025-04-16,24750.0,-750.0,24950.0,25425.0,24550.0,923534
2025-04-15,25500.0,300.0,25650.0,25650.0,24650.0,1209545
2025-04-14,25200.0,1300.0,24900.0,25400.0,24500.0,1589397
2025-04-11,23900.0,1100.0,23100.0,24100.0,22950.0,1685618
2025-04-10,22800.0,1400.0,22900.0,22950.0,22250.0,584422
2025-04-09,21400.0,-400.0,22600.0,22650.0,21150.0,895034
2025-04-08,21800.0,1800.0,20950.0,21900.0,20800.0,971845
2025-04-07,20000.0,-2250.0,21300.0,21450.0,20000.0,923755
2025-04-04,22250.0,-250.0,22250.0,22900.0,21500.0,906589
2025-04-03,22500.0,0.0,21900.0,22850.0,21750.0,638798
2025-04-02,22500.0,100.0,22800.0,22900.0,21750.0,909677
2025-04-01,22400.0,1150.0,21800.0,22650.0,21700.0,1021150
2025-03-31,21250.0,300.0,20300.0,21550.0,20300.0,993223
2025-03-28,20950.0,-150.0,21100.0,21400.0,20450.0,1370726
2025-03-27,21100.0,-1100.0,22300.0,22500.0,20900.0,1840280
2025-03-26,22200.0,-300.0,22500.0,22750.0,21600.0,1967748
2025-03-25,22500.0,-1100.0,24150.0,24250.0,22300.0,2072925
2025-03-24,23600.0,-850.0,24150.0,24200.0,23550.0,1363751
2025-03-21,24450.0,250.0,22750.0,25000.0,22700.0,4469586
2025-03-20,24200.0,-2100.0,26650.0,26650.0,24200.0,3902889
2025-03-19,26300.0,-650.0,26900.0,27150.0,25850.0,3573040
2025-03-18,26950.0,3250.0,23900.0,27800.0,23850.0,16227200
2025-03-17,23700.0,350.0,23300.0,24050.0,23000.0,1348057
2025-03-14,23350.0,-350.0,23750.0,24000.0,23200.0,976200
2025-03-13,23700.0,300.0,23450.0,24450.0,23450.0,1442467
