날짜,종가,전일비,시가,고가,저가,거래량
2025-04-25,89900.0,9000.0,82700.0,90000.0,81900.0,7364955
2025-04-24,80900.0,1000.0,80500.0,82400.0,79400.0,2616604
2025-04-23,79900.0,900.0,80000.0,81300.0,78800.0,2700319
2025-04-22,79000.0,1100.0,76900.0,79600.0,76800.0,2051026
2025-04-21,77900.0,-500.0,79200.0,79200.0,76600.0,1369990
2025-04-18,78400.0,500.0,78700.0,79800.0,76900.0,2214342
2025-04-17,77900.0,600.0,77700.0,78600.0,76500.0,1479940
2025-04-16,77300.0,-2100.0,77200.0,79400.0,76200.0,2023987
2025-04-15,79400.0,-700.0,79900.0,80000.0,78500.0,1973213
2025-04-14,80100.0,2500.0,81100.0,81100.0,78800.0,2553658
2025-04-11,77600.0,4500.0,75000.0,78200.0,74100.0,4571802
2025-04-10,73100.0,4500.0,74500.0,74600.0,71900.0,2764273
2025-04-09,68600.0,900.0,70900.0,70900.0,67500.0,2926001
2025-04-08,67700.0,5200.0,65600.0,68000.0,65000.0,2668105
2025-04-07,62500.0,-6800.0,66000.0,66100.0,62350.0,3000005
2025-04-04,69300.0,-2300.0,71200.0,72300.0,66900.0,3616908
2025-04-03,71600.0,2000.0,68600.0,72000.0,68200.0,1896496
2025-04-02,69600.0,300.0,70800.0,70900.0,68300.0,1663181
2025-04-01,69300.0,2200.0,69100.0,71100.0,68600.0,2213169
2025-03-31,67100.0,100.0,64900.0,69100.0,64600.0,2457580
2025-03-28,67000.0,-500.0,68000.0,69500.0,66200.0,1790358
2025-03-27,67500.0,-2900.0,72500.0,72500.0,66900.0,2606503
2025-03-26,70400.0,1900.0,67900.0,70900.0,65900.0,2910250
2025-03-25,68500.0,-4600.0,73300.0,73400.0,67300.0,3026833
2025-03-24,73100.0,0.0,73300.0,73950.0,71500.0,1551881
2025-03-21,73100.0,-1700.0,70500.0,75100.0,70100.0,6577804
2025-03-20,74800.0,-5300.0,80500.0,80600.0,74500.0,5491310
2025-03-19,80100.0,-1300.0,82900.0,84300.0,79750.0,5717348
2025-03-18,81400.0,5100.0,79100.0,82200.0,78600.0,9087386
2025-03-17,76300.0,2000.0,73800.0,77400.0,73400.0,5731492
2025-03-14,74300.0,800.0,74000.0,75500.0,72500.0,2861617
2025-03-13,73500.0,2500.0,72100.0,75100.0,72100.0,5571764
2025-03-12,71000.0,-7000.0,77600.0,78000.0,70600.0,9440490
2025-03-11,78000.0,-1800.0,76900.0,79000.0,75950.0,26261988
2025-03-10,79800.0,-600.0,80400.0,81100.0,76900.0,4357802
2025-03-07,80400.0,700.0,79700.0,82500.0,78500.0,5490438
2025-03-06,79700.0,-800.0,80600.0,81200.0,78500.0,4122669
2025-03-05,80500.0,-4600.0,83300.0,84100.0,77600.0,10207415
2025-03-04,85100.0,10800.0,76900.0,87200.0,75700.0,16811533
2025-02-28,74300.0,300.0,74000.0,76500.0,72600.0,7653204
2025-02-27,74000.0,1500.0,73600.0,75100.0,72600.0,4468337
2025-02-26,72500.0,-2700.0,75800.0,76100.0,72000.0,4491348
2025-02-25,75200.0,3700.0,70500.0,75600.0,70400.0,5669109
2025-02-24,71500.0,-1500.0,74600.0,76300.0,69600.0,6293340
2025-02-21,73000.0,100.0,70100.0,74200.0,69700.0,5729692
2025-02-20,72900.0,-5300.0,77000.0,77100.0,70800.0,11235969
2025-02-19,78200.0,600.0,77000.0,81000.0,75600.0,8074276
2025-02-18,77600.0,-300.0,79000.0,79300.0,77100.0,4520559
2025-02-17,77900.0,0.0,76000.0,80900.0,75900.0,6483474
2025-02-14,77900.0,400.0,76300.0,79500.0,73900.0,10139029
2025-02-13,77500.0,4600.0,73200.0,78900.0,71700.0,14968130
2025-02-12,72900.0,9600.0,65000.0,74600.0,64100.0,18170867
2025-02-11,63300.0,5200.0,59900.0,65500.0,59500.0,12693582
2025-02-10,58100.0,-3800.0,62900.0,64800.0,57200.0,7897697
2025-02-07,61900.0,200.0,62100.0,62500.0,60500.0,3919651
