날짜,기업명,긍정,부정,중립,전체뉴스수,감성_긍정비율,감성_부정비율
2024-01-01,HD한국조선해양,13,8,4,25,0.6190475895691624,0.38095236281179223
2024-01-01,HD현대마린솔루션,3,1,0,4,0.7499998125000469,0.24999993750001562
2024-01-01,HD현대마린엔진,1,0,0,1,0.9999990000010001,0.0
2024-01-01,HD현대미포,10,2,0,12,0.8333332638888947,0.16666665277777895
2024-01-01,HD현대중공업,18,5,4,27,0.7826086616257103,0.21739129489603065
2024-01-01,STX엔진,0,2,1,3,0.0,0.99999950000025
2024-01-01,삼성중공업,15,6,2,23,0.7142856802721105,0.28571427210884415
2024-01-01,세진중공업,2,1,0,3,0.6666664444445185,0.33333322222225925
2024-01-01,한국카본,2,2,0,4,0.49999987500003124,0.49999987500003124
2024-01-01,한화엔진,4,6,0,10,0.39999996000000404,0.599999940000006
2024-01-01,한화오션,16,9,6,31,0.639999974400001,0.35999998560000057
2024-01-02,HD한국조선해양,15,4,1,20,0.7894736426592819,0.21052630470914185
2024-01-02,HD현대마린솔루션,7,4,1,12,0.636363578512402,0.3636363305785154
2024-01-02,HD현대마린엔진,1,1,0,2,0.499999750000125,0.499999750000125
2024-01-02,HD현대미포,9,1,0,10,0.8999999100000091,0.09999999000000101
2024-01-02,HD현대중공업,19,3,4,26,0.863636324380167,0.13636363016528952
2024-01-02,삼성중공업,18,2,2,22,0.8999999550000022,0.09999999500000024
2024-01-02,세진중공업,3,0,0,3,0.9999996666667778,0.0
2024-01-02,한화엔진,20,2,1,23,0.9090908677685968,0.09090908677685969
2024-01-02,한화오션,15,4,8,27,0.7894736426592819,0.21052630470914185
2024-01-03,HD한국조선해양,13,7,8,28,0.6499999675000016,0.34999998250000086
2024-01-03,HD현대마린솔루션,2,2,1,5,0.49999987500003124,0.49999987500003124
2024-01-03,HD현대마린엔진,0,1,0,1,0.0,0.9999990000010001
2024-01-03,HD현대미포,9,2,3,14,0.8181817438016598,0.1818181652892577
