날짜,기업명,긍정,부정,중립,전체뉴스수,감성_긍정비율,감성_부정비율,tfidf_수주,tfidf_실적,tfidf_미국
2024-01-01,HD한국조선해양,13,8,4,25,0.6190475895691624,0.3809523628117922,0.0213964050318378,0.0,0.0
2024-01-01,HD현대마린솔루션,3,1,0,4,0.7499998125000469,0.2499999375000156,0.0,0.0,0.0
2024-01-01,HD현대마린엔진,1,0,0,1,0.999999000001,0.0,0.0,0.0,0.0
2024-01-01,HD현대미포,10,2,0,12,0.8333332638888947,0.1666666527777789,0.0,0.0,0.0
2024-01-01,HD현대중공업,18,5,4,27,0.7826086616257103,0.2173912948960306,0.0087596693378615,0.0,0.0
2024-01-01,STX엔진,0,2,1,3,0.0,0.99999950000025,0.0,0.0,0.0
2024-01-01,삼성중공업,15,6,2,23,0.7142856802721105,0.2857142721088441,0.0102830900922722,0.0,0.0
2024-01-01,세진중공업,2,1,0,3,0.6666664444445185,0.3333332222222592,0.0,0.0,0.0
2024-01-01,한국카본,2,2,0,4,0.4999998750000312,0.4999998750000312,0.0,0.0,0.0
2024-01-01,한화엔진,4,6,0,10,0.399999960000004,0.599999940000006,0.0826994975289593,0.0,0.0
2024-01-01,한화오션,16,9,6,31,0.639999974400001,0.3599999856000005,0.0076293894232987,0.0,0.0
2024-01-02,HD한국조선해양,15,4,1,20,0.7894736426592819,0.2105263047091418,0.0161375885551204,0.0330296746651787,0.0
2024-01-02,HD현대마린솔루션,7,4,1,12,0.636363578512402,0.3636363305785154,0.0,0.0261187029034446,0.0
2024-01-02,HD현대마린엔진,1,1,0,2,0.499999750000125,0.499999750000125,0.0,0.0,0.0
2024-01-02,HD현대미포,9,1,0,10,0.8999999100000091,0.099999990000001,0.0,0.0,0.0
2024-01-02,HD현대중공업,19,3,4,26,0.863636324380167,0.1363636301652895,0.0130120562410316,0.0,0.0123753805265736
2024-01-02,삼성중공업,18,2,2,22,0.8999999550000022,0.0999999950000002,0.0775150770457471,0.0,0.0
2024-01-02,세진중공업,3,0,0,3,0.9999996666667778,0.0,0.0,0.0,0.0
2024-01-02,한화엔진,20,2,1,23,0.9090908677685968,0.0909090867768596,0.0264706908546513,0.0171309202905123,0.0
2024-01-02,한화오션,15,4,8,27,0.7894736426592819,0.2105263047091418,0.0,0.0145930061733994,0.0
2024-01-03,HD한국조선해양,13,7,8,28,0.6499999675000016,0.3499999825000008,0.0423336359416828,0.0144772928885768,0.0128872523945959
2024-01-03,HD현대마린솔루션,2,2,1,5,0.4999998750000312,0.4999998750000312,0.0,0.0,0.0
2024-01-03,HD현대마린엔진,0,1,0,1,0.0,0.999999000001,0.0,0.0,0.0
2024-01-03,HD현대미포,9,2,3,14,0.8181817438016598,0.1818181652892577,0.05363616070675,0.0289545857771536,0.0
2024-01-03,HD현대중공업,19,5,6,30,0.7916666336805569,0.2083333246527781,0.0575782689625574,0.0135121400293383,0.0
2024-01-03,STX엔진,6,2,1,9,0.7499999062500118,0.2499999687500039,0.0,0.0,0.0
2024-01-03,삼성중공업,13,7,3,23,0.6499999675000016,0.3499999825000008,0.0332462924999347,0.0,0.0
2024-01-03,세진중공업,6,1,1,8,0.857142734693895,0.1428571224489825,0.0,0.0,0.0
2024-01-03,한국카본,6,3,1,10,0.6666665925926009,0.3333332962963004,0.0,0.0,0.0
2024-01-03,한화엔진,15,5,1,21,0.7499999625000018,0.2499999875000006,0.0,0.0,0.0
2024-01-03,한화오션,20,9,4,33,0.689655148632581,0.3103448168846615,0.0370749900974898,0.0,0.0
2024-01-04,HD한국조선해양,17,4,7,28,0.8095237709750585,0.1904761814058961,0.0617831261100055,0.0,0.0174140644578279
2024-01-04,HD현대마린솔루션,8,5,0,13,0.615384568047341,0.3846153550295881,0.0,0.0,0.0
2024-01-04,HD현대미포,7,1,6,14,0.8749998906250137,0.1249999843750019,0.0735995986258949,0.0,0.0
