기업명,날짜,뉴스제목,URL
HD현대마린엔진,2024.01.01,2024년 IPO 개시…첫 타자 포스뱅크·스튜디오삼익,http://news.bizwatch.co.kr/article/market/2023/12/29/0008
HD현대마린엔진,2024.01.02,"HD현대, 친환경·자율운항선박 기술 초격차 확보",https://www.mk.co.kr/article/10911738
HD현대마린엔진,2024.01.02,"경영 전면에 나선 80년대생 오너 3, 4세들 2024년에 진검승부 벌어진다",https://www.hankookilbo.com/News/Read/A2024010114450001890?did=NA
HD현대마린엔진,2024.01.03,"포스뱅크·HB인베스트 등, 공모주 훈풍 부채질할까",https://view.asiae.co.kr/article/2024010209550848054
HD현대마린엔진,2024.01.08,"‘정기선 時代’ 본격 도래… HD현대 3세 경영, 9부 능선 넘었다",https://shindonga.donga.com/3/all/13/4656934/1
HD현대마린엔진,2024.01.08,새해에만 10곳 대기…IPO 몰려온다,http://www.smedaily.co.kr/news/articleView.html?idxno=278576
HD현대마린엔진,2024.01.10,정기선 HD현대 대표이사 겸 HD한국조선해양 대표이사 부회장,https://www.businesspost.co.kr/BP?command=article_view&num=338785
HD현대마린엔진,2024.01.11,"HD현대, 액셀러론과 디지털 터보차저 최적화 솔루션 계약",https://www.theguru.co.kr/news/article.html?no=65023
HD현대마린엔진,2024.01.16,슈퍼사이클에 올라탄 조선업...연초부터 IPO·해외진출로 몸집 키우기 시...,https://news.mtn.co.kr/news-detail/2024011609520315203
HD현대마린엔진,2024.01.18,"최일 잠수함연구소 소장 | “北, 核어뢰로 부산항 타격할 수 있어”",http://monthly.chosun.com/client/news/viw.asp?ctcd=E&nNewsNumb=202402100021
HD현대마린엔진,2024.01.19,"몸값 15배 오른다…HD현대, 마린솔루션 IPO 기대",http://www.smedaily.co.kr/news/articleView.html?idxno=279509
HD현대마린엔진,2024.01.19,"""HD현대, 조선·변압기 실적 개선으로 1분기부터 증익 예상""",http://www.insightkorea.co.kr/news/articleView.html?idxno=127244
HD현대마린엔진,2024.01.29,"HD현대重, 독자개발 '힘센엔진' 1만5000대 생산 달성",https://view.asiae.co.kr/article/2024012915214842968
HD현대마린엔진,2024.01.29,"HD현대중공업, 독자 기술 '힘센엔진' 1만5천 대 생산 기록",https://www.yna.co.kr/view/AKR20240129065300057?input=1195m
HD현대마린엔진,2024.01.29,HD현대중공업 ‘힘센엔진’ 1만5000대 생산 달성,https://www.news1.kr/articles/5304902
HD현대마린엔진,2024.01.29,"HD현대중공업, 독자 개발 ‘힘센엔진’ 1만5000대 생산 달성",https://www.smartfn.co.kr/article/view/sfn202401290046
HD현대마린엔진,2024.01.29,"HD현대중공업, '힘센엔진' 누계 1만 5000대 생산 달성",http://www.energy-news.co.kr/news/articleView.html?idxno=92728
HD현대마린엔진,2024.01.29,"HD현대重,독자기술 ‘힘센엔진’ 15,000대 생산 신기록",http://www.globalepic.co.kr/view.php?ud=202401291622546413fc97261ce2_29
HD현대마린엔진,2024.01.29,"HD현대중공업, '힘센엔진(HiMSEN)' 1만5000대 생산 신기록",https://www.thepublic.kr/news/articleView.html?idxno=214566
HD현대마린엔진,2024.01.29,"HD현대중공업, 힘센엔진 생산 1만5000대 돌파",https://www.ulsanpress.net/news/articleView.html?idxno=521075
HD현대마린엔진,2024.01.29,"HD현대重 '힘센엔진' 누계 생산 1만5,000대 달성…중형엔진 시장점유율...",http://www.srtimes.kr/news/articleView.html?idxno=150461
HD현대마린엔진,2024.01.29,"HD현대重, '힘센엔진' 1만5000대 생산 신기록 달성…""제품 품질 향상 위...",https://www.pointdaily.co.kr/news/articleView.html?idxno=188997
HD현대마린엔진,2024.01.29,HD현대重 독자기술 개발 '힘센엔진' 23년만에 누적 생산 1만5천대 달성,http://www.ujeil.com/news/articleView.html?idxno=341306
HD현대마린엔진,2024.01.29,선박용 중형엔진 시장 1위...HD현중 '힘센엔진' 누적 생산 1만5천대,http://www.4th.kr/news/articleView.html?idxno=2056385
HD현대마린엔진,2024.01.29,"HD현대중공업, 힘센엔진 누적 생산량 1만 5000대 돌파",https://www.fortunekorea.co.kr/news/articleView.html?idxno=33596
HD현대마린엔진,2024.01.29,"HD현대重, 23년 만에 '힘센엔진' 생산 1.5만대 달성",http://www.sisacast.kr/news/articleView.html?idxno=50279
HD현대마린엔진,2024.01.29,"현대重, 힘센엔진 1만5천대 생산...2001년 첫 생산 이후 대기록",http://www.ezyeconomy.com/news/articleView.html?idxno=129845
HD현대마린엔진,2024.01.29,"HD현대중공업, ‘힘센엔진 생산누계 1만 5천대 달성 기념 행사’ 개최",http://www.mtnews.net/news/view.php?idx=17836
HD현대마린엔진,2024.01.29,"HD현대중공업, 독자 기술 '힘센엔진' 1만5000대 생산 달성",https://www.cwn.kr/news/articleView.html?idxno=24951
HD현대마린엔진,2024.01.29,"HD현대重, 독자 개발 ‘힘센엔진’ 1만5000대 생산 신기록",https://www.ceoscoredaily.com/page/view/2024012915165708972
HD현대마린엔진,2024.01.29,"HD현대중공업, 독자 기술 개발 ‘힘센엔진’ 1만5000대 생산...전 세계 6...",http://www.thevaluenews.co.kr/news/view.php?idx=181004
HD현대마린엔진,2024.01.29,"LG, HD현중, 삼성전자, 포스코퓨처엠, LS엠트론, 이녹스...",https://www.asiatime.co.kr/article/20240129500309
HD현대마린엔진,2024.01.30,"""HD현대중공업, 힘센엔진 생산 1만5000대 달성했다""",http://www.energydaily.co.kr/news/articleView.html?idxno=143781
HD현대마린엔진,2024.01.30,"HD현대중공업, 독자개발 '힘센엔진' 15000대 생산 신기록",https://www.econovill.com/news/articleView.html?idxno=644102
HD현대마린엔진,2024.01.30,"HD현대重, 독자 기술로 개발한 '힘센엔진' 15,000대 생산 신기록",http://www.kdpress.co.kr/news/articleView.html?idxno=126181
HD현대마린엔진,2024.01.30,"HD현대중공업 '힘센엔진' 15,000대 생산",http://www.wsobi.com/news/articleView.html?idxno=229493
HD현대마린엔진,2024.01.30,"HD현대중공업, 힘센엔진 누적 1만5,000대 생산",http://www.epj.co.kr/news/articleView.html?idxno=33740
HD현대마린엔진,2024.01.30,"HD현대중공업, '힘센엔진' 1만5000대 생산…""10년 이상 1위 자리 사수""",http://www.betanews.net:8080/article/1458257.html
HD현대마린엔진,2024.01.30,"HD현대중공업, '힘센엔진' 1만5000대 생산 신기록",http://www.issuenbiz.com/news/articleView.html?idxno=37165
HD현대마린엔진,2024.01.30,"HD현대중공업, 메탄올·암모니아 시장 진출 선언",http://www.todayenergy.kr/news/articleView.html?idxno=268336
HD현대마린엔진,2024.01.30,"HD현대중, 독자개발 '힘센엔진' 누계생산 1만5000대 달성",https://www.ksilbo.co.kr/news/articleView.html?idxno=990872
HD현대마린엔진,2024.01.30,두산에너빌리티 '가스터빈 로터'·LG전자 '스마트 라이프 솔...,http://www.newswatch.kr/news/articleView.html?idxno=66972
HD현대마린엔진,2024.01.31,"""전동화가 미래""...HD현대, 친환경 추진 패키지 '에코핀' 띄운다",http://www.ftoday.co.kr/news/articleView.html?idxno=315478
HD현대마린엔진,2024.02.02,"KT, 자녀에게 폰 물려주는 '갤럭시 패밀리폰 프로그램...",https://www.greened.kr/news/articleView.html?idxno=311167
HD현대마린엔진,2024.02.04,LS전선·HD현대의 '원스톱 서비스'…비결은 2곳의 마린솔루션,http://news.mt.co.kr/mtview.php?no=2024020210022333008
HD현대마린엔진,2024.02.06,"HD현대, 2년 연속 매출 60조원 달성",https://economist.co.kr/article/view/ecn202402060058
HD현대마린엔진,2024.02.06,"HD현대, 지난해 영업익 2조원…전년比 40%↓",https://zdnet.co.kr/view/?no=20240206144922
HD현대마린엔진,2024.02.06,"HD현대, 2년 연속 매출 60조 달성…영업익 2.3조 40%↓",http://www.newsis.com/view/?id=NISX20240206_0002618761&cID=13001&pID=13000
HD현대마린엔진,2024.02.06,"HD현대, 지난해 영업익 2조316억원…전년비 40%↓",https://www.smartfn.co.kr/article/view/sfn202402060046
HD현대마린엔진,2024.02.06,HD현대 2년 연속 매출액 60조 달성…HD한국조선해양 3년 만의 흑자전환,http://www.smedaily.co.kr/news/articleView.html?idxno=281101
HD현대마린엔진,2024.02.06,"HD현대, 2년 연속 매출 60조원 달성... 영업익은 2조원 대로 감소",http://www.thefirstmedia.net/news/articleView.html?idxno=138253
HD현대마린엔진,2024.02.06,"HD현대, 2년 연속 매출 60조원 돌파...영업익 2조316억원",http://www.asiaa.co.kr/news/articleView.html?idxno=158499
HD현대마린엔진,2024.02.06,"HD현대, 2023년 매출 61조 3313억·영업익 2조 316억",https://www.energy-news.co.kr/news/articleView.html?idxno=200158
HD현대마린엔진,2024.02.06,"HD현대, 지난해 영업이익 2조 316억 원…전년 대비 40% 감소",http://mbnmoney.mbn.co.kr/news/view?news_no=MM1005152872
HD현대마린엔진,2024.02.06,"HD현대, 2년 연속 매출 60조원 달성…HD한국조선해양 3년만에 흑자 전환",https://www.newsquest.co.kr/news/articleView.html?idxno=217869
HD현대마린엔진,2024.02.06,"HD현대, 2년 연속 매출 60조 달성…영업익 전년比 40%↓",http://www.1conomynews.co.kr/news/articleView.html?idxno=27031
HD현대마린엔진,2024.02.06,"HD현대, 2년 연속 매출 60조원 달성…""안정적인 실적 이어 나갈 것""",https://www.pointdaily.co.kr/news/articleView.html?idxno=189879
HD현대마린엔진,2024.02.06,"HD현대, 지난해 영업익 전년보다 40%↓ 2조원",https://www.ulsanpress.net/news/articleView.html?idxno=521630
HD현대마린엔진,2024.02.06,"HD현대, 2년 연속 매출 60조 달성…영업익은 전년 대비 40%↓",https://www.ceoscoredaily.com/page/view/2024020614345789096
HD현대마린엔진,2024.02.06,"HD현대, 2년 연속 매출 60조 달성..정유 부진에 영업이익 감소",https://www.cwn.kr/news/articleView.html?idxno=25961
HD현대마린엔진,2024.02.06,"HD현대, 지난해 4Q 영업익 3579억 전년比 30.4%↑...연 매출 2년 연속 60조...",http://www.thevaluenews.co.kr/news/view.php?idx=181202
HD현대마린엔진,2024.02.06,"HD현대, 2년 연속 매출 60조원 달성 .... 작년 영업익 전년보다 40%↓",http://www.worktoday.co.kr/news/articleView.html?idxno=48464
HD현대마린엔진,2024.02.06,"HD현대, 매출 61조 3,313억원·영업익 2조 316억원",http://www.economytalk.kr/news/articleView.html?idxno=250131
HD현대마린엔진,2024.02.06,"HD현대, 친환경선박·건설기계·전력기기 다 좋았다...2년 연속 매출 60조...",http://www.popcornnews.net/news/articleView.html?idxno=52740
HD현대마린엔진,2024.02.06,"HD현대, 2년 연속 매출 60조원…HD한국조선해양 3년만 턴어라운드",http://www.efnews.co.kr/news/articleView.html?idxno=109757
HD현대마린엔진,2024.02.07,"HD현대, 2년 연속 매출 60조원 달성",http://www.wsobi.com/news/articleView.html?idxno=230435
HD현대마린엔진,2024.02.07,"HD한국조선해양, ‘신조선가 상승영향’ 영업익 3년만에 흑자전환",https://www.ksg.co.kr/news/main_newsView.jsp?pNum=140592
HD현대마린엔진,2024.02.07,"HD현대, 2년 연속 매출 60조원…'선별 수주 전략' 통했다",http://www.newsian.co.kr/news/articleView.html?idxno=67235
HD현대마린엔진,2024.02.07,"HD현대, 2년 연속 60조원대 매출 달성... 영업익 전년비 40%↓",http://www.newslock.co.kr/news/articleView.html?idxno=86687
HD현대마린엔진,2024.02.07,"HD현대, 또 매출 60조 넘어섰다…한국조선해양은 흑전 성공",https://www.apnews.kr/news/articleView.html?idxno=3015955
HD현대마린엔진,2024.02.07,"HD현대, 2년 연속 매출 60兆 달성...영업이익 2조316억원",http://www.issuenbiz.com/news/articleView.html?idxno=37588
HD현대마린엔진,2024.02.07,'친환경 선박' 맞붙은 3세간 경쟁,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202402051659351720102941
HD현대마린엔진,2024.02.08,"HD현대, 지난해 매출 61조3313억, 영업이익 2조316억 기록",http://www.econonews.co.kr/news/articleView.html?idxno=325823
HD현대마린엔진,2024.02.20,"HD현대마린솔루션, 코스피 상장 예심 승인...상반기 내 공모 채비",https://www.hankyung.com/article/202402205413r
HD현대마린엔진,2024.02.20,"HD현대마린솔루션, 코스피 신규 상장 예심 통과",http://www.seoulwire.com/news/articleView.html?idxno=531947
HD현대마린엔진,2024.02.20,"HD현대마린솔루션, UAE 드라이독스와 파트너십 '중동 입지 강화'",https://www.theguru.co.kr/news/article.html?no=66850
HD현대마린엔진,2024.02.21,"""대어 온다"" HD현대마린솔루션, IPO 절차 착수…예상몸값 4조",https://www.moneys.co.kr/article/2024022014401161121
HD현대마린엔진,2024.02.21,올 상반기 상장 최대어 온다…조선업 호황에 몸값 뛴 HD현대마린,https://www.thepublic.kr/news/articleView.html?idxno=216505
HD현대마린엔진,2024.02.21,"에이피알 청약 환불금 14조…""어디에 투자할까"" 개미들 고심",http://news.tf.co.kr/read/economy/2077322.htm
HD현대마린엔진,2024.02.22,'해양 산업 솔루션' 원스톱으로..HD현대마린솔루션에 시선집중,http://news.mt.co.kr/mtview.php?no=2024022015304097243
HD현대마린엔진,2024.02.22,"KKR, HD현대마린솔루션 엑시트 기대감 고조",http://news.heraldcorp.com/view.php?ud=20240222050674
HD현대마린엔진,2024.02.22,'위기를 기회로' 생존을 걱정하던 회사...,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202402201501223120105375
HD현대마린엔진,2024.02.22,"HD현대마린솔루션, IPO 절차 착수…예상 몸값 3조 이상",http://www.wolyo.co.kr/news/articleView.html?idxno=236205
HD현대마린엔진,2024.02.23,"'불황 속 선전' HD한국조선해양…""친환경 기술로 도약""",https://www.asiatoday.co.kr/view.php?key=20240222010011452
HD현대마린엔진,2024.02.28,그룹 핵심인력 이사회 참여 눈길…거쳐...,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202402261446541280102648
HD현대마린엔진,2024.02.28,"KAI-사천시, '항공우주분야 산업관광 체계구축' MOU 체결",https://www.greened.kr/news/articleView.html?idxno=311867
HD현대마린엔진,2024.03.05,HD현대 '3세 승계' 핵심 'HD현대마린솔루션' 경쟁력은,https://www.asiatime.co.kr/article/20240305500294
HD현대마린엔진,2024.03.08,"HD현대마린, 엔진 최적화 기술로 친환경 선박시장 개척",https://zdnet.co.kr/view/?no=20240308125815
HD현대마린엔진,2024.03.08,"HD현대마린 엔진 최적화 기술, 그리스 선사 넵튠에 공급 계약",https://www.sedaily.com/NewsView/2D6K1ZG9IY
