기업명,날짜,뉴스제목,URL
HD현대미포,2024.01.01,"HD현대 임원 해맞이로 신년각오…권오갑 ""말아닌 행동으로 변화""",https://www.yna.co.kr/view/AKR20240101022200003?input=1195m
HD현대미포,2024.01.01,"권오갑 HD현대 회장, ""말이 아닌 행동으로 새로운 변화 만들자""",http://news.mt.co.kr/mtview.php?no=2024010111053728198
HD현대미포,2024.01.01,현대미포조선 주가 꿈틀...국제적 검사표준 개발 '잰걸음',https://www.pinpointnews.co.kr/news/articleView.html?idxno=235549
HD현대미포,2024.01.01,갑진년 새해 첫 선박 인도는 2일 HD현대重 울산조선소,http://www.g-enews.com/ko-kr/news/article/news_all/20240101120630542a67d2c7d5a_1/article.html
HD현대미포,2024.01.01,올해도 공모주 청약 이어진다…'몸값 조(兆) 단위' 기대주는?,http://news.tf.co.kr/read/economy/2064936.htm
HD현대미포,2024.01.01,`K-조선` 마지막 자존심 지켰다… 글로벌 시장 점유율 `톱4` 사수,https://www.dt.co.kr/contents.html?article_no=2024010102109932031005&ref=naver
HD현대미포,2024.01.01,울산 기업 시민과 함께 새해행사 목표 인식·달성 위해 각오 다짐,https://www.ulsanpress.net/news/articleView.html?idxno=519205
HD현대미포,2024.01.01,"권오갑 ""리더들은 행동으로 변화 만들어야""…해맞이 행사서 밝혀",http://www.goodkyung.com/news/articleView.html?idxno=225454
HD현대미포,2024.01.01,"K-조선, 친환경 선박 중심으로 초격차 경쟁력 확대",http://www.g-enews.com/ko-kr/news/article/news_all/202401011006556888a67d2c7d5a_1/article.html
HD현대미포,2024.01.01,동성화인텍 주가 '훨훨'...수주잔고 풍부 부각,https://www.pinpointnews.co.kr/news/articleView.html?idxno=235588
HD현대미포,2024.01.01,"새해 첫 날 해맞이로 신년 각오...HD현대 권오갑 ""리더들, 말이 아닌 행...",http://www.4th.kr/news/articleView.html?idxno=2054404
HD현대미포,2024.01.01,"""리더라면 행동으로 변화 만들어야""",https://www.dt.co.kr/contents.html?article_no=2024010102109932031003&ref=naver
HD현대미포,2024.01.02,"HD현대 임원들, 새해 첫 날 해맞이로 각오 다져",https://news.kmib.co.kr/article/view.asp?arcid=0924337637&code=11151400&cp=nv
HD현대미포,2024.01.02,"HD현대 임원들, 새해 첫 날 해맞이로 신년 각오 다져",http://www.dizzotv.com/site/data/html_dir/2024/01/02/2024010280126.html
HD현대미포,2024.01.02,"권오갑 HD현대 회장, 조직 축소·비용 절감 통한 위기대응 없을 것...""동...",https://www.greened.kr/news/articleView.html?idxno=310114
HD현대미포,2024.01.02,"HD현대, 권오갑 회장 신년사 ""리더들이 책임감 있게 계획 추진해 목표 달...",http://www.newstnt.com/news/articleView.html?idxno=333014
HD현대미포,2024.01.02,"HD현대 임원들, 새해 첫 날 해맞이로 신년 각오 다져",http://www.issuenbiz.com/news/articleView.html?idxno=35619
HD현대미포,2024.01.02,"HD현대 임원들, 갑진년(甲辰年) 새해 첫날 임원·가족 등 200여명 '해맞이...",https://www.thepublic.kr/news/articleView.html?idxno=211931
HD현대미포,2024.01.02,"HD현대, 새해 첫날 해맞이 행사 가져...""행동으로 변화를 만들자""",http://www.sisacast.kr/news/articleView.html?idxno=49041
HD현대미포,2024.01.02,청룡의 해 '푸른 용' 마케팅 돌입한 기업들,http://www.ilyoseoul.co.kr/news/articleView.html?idxno=482534
HD현대미포,2024.01.02,새해에는 외국인 특화거리에 활력을,https://www.ksilbo.co.kr/news/articleView.html?idxno=988727
HD현대미포,2024.01.02,"새해 수출플러스·무역적자 탈피, '반·차·선'에 달려있다",http://sateconomy.co.kr/news/view/1065589933244955
HD현대미포,2024.01.03,"HD현대, 상선 수주목표 작년 실적보다 46% 낮춰… 고부가선박에 집중",https://biz.chosun.com/industry/company/2024/01/03/HIHQHPBLLRDJ5KCXA5VTYAAVHA/?utm_source=naver&utm_medium=original&utm_campaign=biz
HD현대미포,2024.01.03,"정기선 HD현대 부회장, 상산사세(常山蛇勢)",http://www.newspost.kr/news/articleView.html?idxno=113710
HD현대미포,2024.01.03,"HD현대중공업, 조선 상장기업 1월...1위",http://www.beyondpost.co.kr/view.php?ud=202401030859161146a9e4dd7f_30
HD현대미포,2024.01.03,"HD현대 임원들, 새해 첫날 해맞이 개최···""목표 달성 의지 다져""",http://www.enewstoday.co.kr/news/articleView.html?idxno=2075125
HD현대미포,2024.01.03,"현대미포조선, 올해 매출 4조2882억원 전망…흑자전환 기대감 '쑥'",https://www.asiatoday.co.kr/view.php?key=20240103010002259
HD현대미포,2024.01.03,"HD현대, '4000억원' 쿠웨이트 초대형 가스선 수주 노린다",https://www.theguru.co.kr/news/article.html?no=64626
HD현대미포,2024.01.03,"""유가·수주 촉각""...HD한국조선해양·삼성중공업 등 조선주 '장중 급락...",http://www.choicenews.co.kr/news/articleView.html?idxno=125263
HD현대미포,2024.01.03,"조선 상장기업 브랜드평판 1월 빅데이터 분석결과...1위 HD현대중공업, ...",http://www.wsobi.com/news/articleView.html?idxno=226892
HD현대미포,2024.01.03,"한국조선해양 3사, 수주 눈높이 낮췄다",https://dealsite.co.kr/articles/115799
HD현대미포,2024.01.03,해상탄소중립 위한 선박 대안 연료 현황과 시사점,http://www.todayenergy.kr/news/articleView.html?idxno=267613
HD현대미포,2024.01.03,"조선사 브랜드평판, HD현대중공업·삼성중공업 순",https://www.straightnews.co.kr/news/articleView.html?idxno=243277
HD현대미포,2024.01.03,"HD현대중공업, 조선 상장기업 브랜드평판 1월 빅데이터 분석 톱",http://www.thebigdata.co.kr/view.php?ud=20240103081346410907d270612f_23
HD현대미포,2024.01.03,"조선 상장기업 2024년 1월 빅데이터 1위 HD현대중공업, 2위...",https://www.cbci.co.kr/news/articleView.html?idxno=456172
HD현대미포,2024.01.03,"HD현대중공업, 조선 브랜드평판 1위···삼성중공업·HD한국조선해양 뒤...",http://www.enetnews.co.kr/news/articleView.html?idxno=18768
HD현대미포,2024.01.04,"""HD한국조선해양, 연간 수주 목표 초과 달성할 것""-한국",https://www.hankyung.com/article/2024010408486
HD현대미포,2024.01.04,2024년 수주목표 공개한 HD현대…지난해 대비 목표치 14% 낮춘 까닭은,https://www.econovill.com/news/articleView.html?idxno=641174
HD현대미포,2024.01.04,1위 삼성중공업 주가·2위 한화오션 주가·3위 현대미포조선 주가 1월 1...,http://www.stardailynews.co.kr/news/articleView.html?idxno=431419
HD현대미포,2024.01.04,"현대차, 전기차 판매 목표 전년비 30% 높인 40만대",https://www.ulsanpress.net/news/articleView.html?idxno=519462
HD현대미포,2024.01.04,"상장사 42%, 돈 벌어 이자도 못 갚는다…좀비기업 늘어난 이유",https://www.joongang.co.kr/article/25219738
HD현대미포,2024.01.04,1월 1주 주요 제조업 전망,http://www.laborplus.co.kr/news/articleView.html?idxno=33002
HD현대미포,2024.01.04,"아무리 선별 수주라지만 0척?…한화오션, 컨테이너선 접나",https://news.kmib.co.kr/article/view.asp?arcid=0019030360&code=61141411&cp=nv
HD현대미포,2024.01.04,"조선업계, 올해 수주 목표액 낮춰 '질적 성장' 노린다",http://www.newsis.com/view/?id=NISX20240104_0002580420&cID=13001&pID=13000
HD현대미포,2024.01.04,"""조선업, 올해 수주잔고‧선가 하락 가능성 크지만 자연스러운 현상"" -하...",http://www.biztribune.co.kr/news/articleView.html?idxno=301037
HD현대미포,2024.01.04,'피크 아웃 우려' 조선업계…친환경서 답 찾는다,https://www.news1.kr/articles/5275774
HD현대미포,2024.01.04,"역기저효과? 피크아웃?..조선사, 수주목표 왜 줄였나",http://www.edaily.co.kr/news/newspath.asp?newsid=03512886638754440
HD현대미포,2024.01.04,"조선 '빅3', 올해 수주 목표 낮출 듯",http://www.newstomato.com/ReadNews.aspx?no=1214923&inflow=N
HD현대미포,2024.01.04,조선 ‘빅3’ 346억달러 벌었다…高價 선별 수주 적중,https://www.ebn.co.kr/news/view/1607231/?sc=Naver
HD현대미포,2024.01.04,1월 3일 주식시장 주요공시,https://www.nbnews.kr/news/articleView.html?idxno=84966
HD현대미포,2024.01.05,"HD현대, 선박 설계-생산 일관화 통합 플랫폼 구축 추진",http://www.newsis.com/view/?id=NISX20240105_0002582654&cID=10814&pID=10800
HD현대미포,2024.01.05,"올 158억달러 수주목표 HD한국조선해양, 3000억원 규모 LPG운반선 2척 수...",https://www.seoul.co.kr/news/newsView.php?id=20240105500100&wlog_tag3=naver
HD현대미포,2024.01.05,"'일감 두둑' HD한국조선해양, 올해 수주목표는 '하향 조정'",http://www.sisaweek.com/news/articleView.html?idxno=210976
HD현대미포,2024.01.05,"'KDDX 기본설계 완료' HD현대, 올해 방산 힘준다…꽃길 걸을까",http://news.tf.co.kr/read/economy/2066162.htm
HD현대미포,2024.01.05,"'양보다 질'…조선 3사, 선별 수주 전략 강화",http://www.srtimes.kr/news/articleView.html?idxno=148988
