기업명,날짜,뉴스제목,URL
HD현대중공업,2024.01.01,"HD현대 임원 해맞이로 신년각오…권오갑 ""말아닌 행동으로 변화""",https://www.yna.co.kr/view/AKR20240101022200003?input=1195m
HD현대중공업,2024.01.01,"HD현대 임원진, 새해 해맞이 행사…권오갑 회장 “책임감 있게 계획 추...",https://www.etoday.co.kr/news/view/2316917
HD현대중공업,2024.01.01,"한국형 차기 구축함 KDDX, …기본설계 완료",https://idsn.co.kr/news/view/1065589006089689
HD현대중공업,2024.01.01,갑진년 새해 첫 선박 인도는 2일 HD현대重 울산조선소,http://www.g-enews.com/ko-kr/news/article/news_all/20240101120630542a67d2c7d5a_1/article.html
HD현대중공업,2024.01.01,SK HD 두산 새해 키워드는…‘변화와 혁신’,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0200&key=20240101.99099000134
HD현대중공업,2024.01.01,현대미포조선 주가 꿈틀...국제적 검사표준 개발 '잰걸음',https://www.pinpointnews.co.kr/news/articleView.html?idxno=235549
HD현대중공업,2024.01.01,2024년 IPO 개시…첫 타자 포스뱅크·스튜디오삼익,http://news.bizwatch.co.kr/article/market/2023/12/29/0008
HD현대중공업,2024.01.01,긴장·고민·행동…복합 위기 속 주요 그룹 총수들의 경영 화두는,http://www.edaily.co.kr/news/newspath.asp?newsid=01990966638753456
HD현대중공업,2024.01.01,"'앞마당 멀티' 확보 나선 K-조선, 도크 적체 풀리나",http://www.m-i.kr/news/articleView.html?idxno=1078938
HD현대중공업,2024.01.01,기업 성장·노동자 역량 강화 지원 디지털·탈탄소화 선제 대응,https://www.ulsanpress.net/news/articleView.html?idxno=519132
HD현대중공업,2024.01.01,"지정학적 위기에 녹록지 않은 한 해…""경영시스템 다듬자""",http://news.mt.co.kr/mtview.php?no=2024010111305795898
HD현대중공업,2024.01.01,"K-조선, 친환경 선박 중심으로 초격차 경쟁력 확대",http://www.g-enews.com/ko-kr/news/article/news_all/202401011006556888a67d2c7d5a_1/article.html
HD현대중공업,2024.01.01,2024년 첫 달 IPO '8개사' 출격…공모주 투심 이을까,https://www.news2day.co.kr/article/20231228500008
HD현대중공업,2024.01.01,"尹의 키워드, '노사 법치·군사동맹·방산'...재계, ""행동하는 ...",https://www.greened.kr/news/articleView.html?idxno=310115
HD현대중공업,2024.01.01,한국의 리파운더 후보자…존재감 높이는 3040 뉴 리더,https://magazine.hankyung.com/business/article/202312276367b
HD현대중공업,2024.01.01,제조업 일꾼으로 뛰는 로봇·AI… 고품질 제품 생산 늘었다 [뉴노멀 시대...,http://www.fnnews.com/news/202401011845053076
