기업명,날짜,뉴스제목,URL
한국카본,2024.01.01,"현대힘스, 기업공개 추진...수요예측 흥행여부 관심 집중",http://www.g-enews.com/ko-kr/news/article/news_all/202312281455481587868af56dd7_1/article.html
한국카본,2024.01.01,동성화인텍 주가 '훨훨'...수주잔고 풍부 부각,https://www.pinpointnews.co.kr/news/articleView.html?idxno=235588
한국카본,2024.01.01,케이에스피 주가 룰루랄라~...조선경기 회복세에 매수 들썩,https://www.pinpointnews.co.kr/news/articleView.html?idxno=235621
한국카본,2024.01.01,현대미포조선 주가 꿈틀...국제적 검사표준 개발 '잰걸음',https://www.pinpointnews.co.kr/news/articleView.html?idxno=235549
한국카본,2024.01.03,1위 HD현대중공업·2위 삼성중공업·3위 HD한...,https://www.gukjenews.com/news/articleView.html?idxno=2892287
한국카본,2024.01.03,"조선 상장기업 2024년 1월 빅데이터 1위 HD현대중공업, 2위...",https://www.cbci.co.kr/news/articleView.html?idxno=456172
한국카본,2024.01.03,"HD현대중공업, 조선 브랜드평판 1위···삼성중공업·HD한국조선해양 뒤...",http://www.enetnews.co.kr/news/articleView.html?idxno=18768
한국카본,2024.01.03,"조선 상장기업 브랜드평판 1월 빅데이터 분석결과...1위 HD현대중공업, ...",http://www.wsobi.com/news/articleView.html?idxno=226892
한국카본,2024.01.03,베셀 주가 뜀박질...유상증자 청약 성공으로 실적개선 기대 '굿',https://www.pinpointnews.co.kr/news/articleView.html?idxno=236119
한국카본,2024.01.03,워크아웃 소식에 태영건설주 상한가... 티와이홀딩스우...,https://www.ggilbo.com/news/articleView.html?idxno=1009125
한국카본,2024.01.03,"HD현대중공업, 조선 상장기업 1월...1위",http://www.beyondpost.co.kr/view.php?ud=202401030859161146a9e4dd7f_30
한국카본,2024.01.03,"조선사 브랜드평판, HD현대중공업·삼성중공업 순",https://www.straightnews.co.kr/news/articleView.html?idxno=243277
한국카본,2024.01.03,"HD현대중공업, 조선 상장기업 브랜드평판 1월 빅데이터 분석 톱",http://www.thebigdata.co.kr/view.php?ud=20240103081346410907d270612f_23
한국카본,2024.01.03,이엠코리아 주가 '흥얼흥얼'...신규 항공기 수요 증가,https://www.pinpointnews.co.kr/news/articleView.html?idxno=236032
한국카본,2024.01.04,1위 삼성중공업 주가·2위 한화오션 주가·3위 현대미포조선 주가 1월 1...,http://www.stardailynews.co.kr/news/articleView.html?idxno=431419
한국카본,2024.01.04,HSD엔진 주가 콧노래...조선 엔진업 시장 공급자 우위로,https://www.pinpointnews.co.kr/news/articleView.html?idxno=236368
한국카본,2024.01.08,"'호실적' 앞세운 현대힘스, '400%' 흥행 사례 이을까",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202401041900015520106911
한국카본,2024.01.08,"몸값 낮춘 현대힘스, '슈퍼사이클' 힘 더한다",https://dealsite.co.kr/articles/115970
한국카본,2024.01.09,삼영이엔씨 주가 힘찬 뱃고동...방위사업청과 무슨 일이?,https://www.pinpointnews.co.kr/news/articleView.html?idxno=237256
한국카본,2024.01.09,"1위 대한항공 주가, 2위 두산에너빌리티 주가, 3위 한화에어로스페이스...",https://www.cwn.kr/news/articleView.html?idxno=22454
한국카본,2024.01.10,한화에어로스페이스 주가 으랏차차... 2032년 달 착륙에 기여 계획,https://www.pinpointnews.co.kr/news/articleView.html?idxno=237612
한국카본,2024.01.10,"1위 삼성중공업 주가, 2위 한화오션 주가, 3위 현대미포조선 주가... 1월...",https://www.cwn.kr/news/articleView.html?idxno=22582
한국카본,2024.01.10,STX중공업 주가 꿈틀...419억 규모 선박엔진 공급 계약 실적개선 '모락모...,https://www.pinpointnews.co.kr/news/articleView.html?idxno=237628
한국카본,2024.01.12,"②무난한 밸류, 공모자금은 '미래'에",https://www.topdaily.kr/articles/96168
한국카본,2024.01.12,"현대힘스 26일 코스닥 데뷔…""조선업 슈퍼사이클 수혜 기대""",http://news.bizwatch.co.kr/article/market/2024/01/12/0017
한국카본,2024.01.12,2024 JEC 혁신상 (Innovation Awards) 결 선 진출 업체 라인업,http://www.energydaily.co.kr/news/articleView.html?idxno=143424
한국카본,2024.01.12,"복합소재산업전 'JEC WORLD', 3월 파리에서 개막",https://weeklytrade.co.kr/news/view.html?section=1&category=8&item=&no=90193
한국카본,2024.01.12,1위 삼성중공업 주가·2위 한화오션 주가·3위 현대미포조선 주가 1월 2...,http://www.stardailynews.co.kr/news/articleView.html?idxno=432105
한국카본,2024.01.12,태광 주가 고개... 사우디 자푸라 프로젝트 등 대규모 프로젝트 주목,https://www.pinpointnews.co.kr/news/articleView.html?idxno=238148
한국카본,2024.01.12,SNT에너지 주가 꿈틀...현대엔지니어링과 공급계약으로 실적개선 '모락...,https://www.pinpointnews.co.kr/news/articleView.html?idxno=238143
한국카본,2024.01.12,휴니드 주가 들썩...신규 항공기 수요 점진적 증가 뚜렷,https://www.pinpointnews.co.kr/news/articleView.html?idxno=238087
한국카본,2024.01.14,하이즈항공 주가 햇볕드나...조립 계약금 변경 주목,https://www.pinpointnews.co.kr/news/articleView.html?idxno=238436
한국카본,2024.01.14,조태근 밀양시장 보선 예비후보 선거사무소 개소,https://www.asiatoday.co.kr/view.php?key=20240114010008327
한국카본,2024.01.14,밀양시장 보궐선거 조태근 예비후보 선거사무소 개소식 가져,https://www.gukjenews.com/news/articleView.html?idxno=2899919
한국카본,2024.01.14,포스코인터내셔널 주가 불끈...사상 첫 영업이익 1조원 돌파 확실,https://www.pinpointnews.co.kr/news/articleView.html?idxno=238406
한국카본,2024.01.15,'청룡의 해' IPO 시동…4개사 출격,http://www.inews24.com/view/1676364
한국카본,2024.01.15,세계 최대 복합소재展 ‘JEC WORLD’ 3월 5일 파리 개최,http://amenews.kr/news/view.php?idx=56272
한국카본,2024.01.16,3000도 열 버티는 내열재 국산화 성공,https://view.asiae.co.kr/article/2024011507125867515
