기업명,날짜,뉴스제목,URL
한화엔진,2024.01.01,新성장 엔진 장착…'수출 50년' 구미의 대변혁 [낙동강의 기적을 만들자...,https://www.imaeil.com/page/view/2023122511121592204
한화엔진,2024.01.01,① 우주항공,http://www.knnews.co.kr/news/articleView.php?idxno=1422184
한화엔진,2024.01.01,"'앞마당 멀티' 확보 나선 K-조선, 도크 적체 풀리나",http://www.m-i.kr/news/articleView.html?idxno=1078938
한화엔진,2024.01.01,1년만에 전투기 12대 초스피드 납품… 유럽 놀래킨 KAI,https://biz.chosun.com/industry/company/2024/01/01/3KOKCFBX5VCGLEGDY6MRKBVGLU/?utm_source=naver&utm_medium=original&utm_campaign=biz
한화엔진,2024.01.01,'화룡점정'역량을 꺼낸다,http://www.shinailbo.co.kr/news/articleView.html?idxno=1805897
한화엔진,2024.01.01,"<기획특집> 미래차ㆍ방위산업…경북도, 전략산업 ‘新산업화’ 매진",http://www.ksmnews.co.kr/news/view.php?idx=461749
한화엔진,2024.01.01,동성화인텍 주가 '훨훨'...수주잔고 풍부 부각,https://www.pinpointnews.co.kr/news/articleView.html?idxno=235588
한화엔진,2024.01.01,"韓 조선기자재 업체, 중국 남방→북방 조선소로 영업 범위 확대",https://www.theguru.co.kr/news/article.html?no=64466
한화엔진,2024.01.01,지난해 대학가를 빛낸 인물은…기술‧문화‧연구 등 다...,https://news.unn.net/news/articleView.html?idxno=557562
한화엔진,2024.01.01,잠수함도 리튬이온배터리 시대… 잠항 능력 3배로,https://biz.chosun.com/industry/company/2024/01/01/5BBNWEII3RE25BTWL4RFRBD37Y/?utm_source=naver&utm_medium=original&utm_campaign=biz
한화엔진,2024.01.02,최태원 “위기는 혁신의 엔진… 韓 경제 재도약 위해 뛰겠다”,https://biz.chosun.com/industry/company/2024/01/02/BLI6HCOIPJCLZKGDGTQ6EH6UKA/?utm_source=naver&utm_medium=original&utm_campaign=biz
한화엔진,2024.01.02,최태원 회장 “위기는 혁신의 엔진…‘들숨’ 크게 마시고 달려가자”,https://www.etoday.co.kr/news/view/2317198
