기업명,날짜,뉴스제목,URL
한화오션,2024.01.01,"재계, 악화된 경영환경 신성장동력으로 ‘정면 돌파’",https://biz.newdaily.co.kr/site/data/html/2023/12/29/2023122900270.html
한화오션,2024.01.01,"한화, 우주 밸류체인 선제 투자 '100년 한화' 준비",https://www.hankyung.com/article/2024010143071
한화오션,2024.01.01,KB證 11년째 채권발행 선두 … NH투자證 주식발행 1위,https://www.mk.co.kr/article/10911102
한화오션,2024.01.01,선박 수주량 또 中에 밀려 3년째 2위,https://www.donga.com/news/Economy/article/all/20231231/122845670/1
한화오션,2024.01.01,`K-조선` 마지막 자존심 지켰다… 글로벌 시장 점유율 `톱4` 사수,https://www.dt.co.kr/contents.html?article_no=2024010102109932031005&ref=naver
한화오션,2024.01.01,잠수함도 리튬이온배터리 시대… 잠항 능력 3배로,https://biz.chosun.com/industry/company/2024/01/01/5BBNWEII3RE25BTWL4RFRBD37Y/?utm_source=naver&utm_medium=original&utm_campaign=biz
한화오션,2024.01.01,"K-조선, 친환경·초격차로 1위 수성",http://www.m-i.kr/news/articleView.html?idxno=1078758
한화오션,2024.01.01,"조선업계, AI 기술 적용 속도…스마트조선소 만든다",https://www.mediapen.com/news/view/885205
한화오션,2024.01.01,양보다 질…조선업계 고가 선박 수주 효과 나타난다,http://www.smedaily.co.kr/news/articleView.html?idxno=278041
한화오션,2024.01.01,한국의 리파운더 후보자…존재감 높이는 3040 뉴 리더,https://magazine.hankyung.com/business/article/202312276367b
한화오션,2024.01.01,"서일준 국회의원 ""오직 '거제발전'만 생각하며 최선을 다하겠습니다""",https://www.newsfreezone.co.kr/news/articleView.html?idxno=538540
한화오션,2024.01.01,"'앞마당 멀티' 확보 나선 K-조선, 도크 적체 풀리나",http://www.m-i.kr/news/articleView.html?idxno=1078938
한화오션,2024.01.01,"‘청룡의 해’ 맞는 재계 총수들, 도전하는 리더가 주도...",https://www.asiatoday.co.kr/view.php?key=20231226010015968
한화오션,2024.01.01,국힘 출마 러시 속 민주는 낙동강벨트 ‘수성+α’에 사력 [2024 총선 도...,https://www.busan.com/view/busan/view.php?code=2024010117392468203
한화오션,2024.01.01,변화와 풍요 상징 '청룡의 해' 맞는 용띠 인사는?,https://www.newsquest.co.kr/news/articleView.html?idxno=215731
한화오션,2024.01.01,청룡의 기운 '으랏차차'…글로벌 주도권 잡는다,https://www.hankyung.com/article/2024010142381
한화오션,2024.01.01,신규 발주 줄어도…쌓아둔 일감 '두둑',https://www.mk.co.kr/article/10910993
한화오션,2024.01.01,부회장·대표이사로 경영 일선에…시험대 오른 3040 젊...,http://news.tf.co.kr/read/economy/2064797.htm
한화오션,2024.01.01,“당당한 블루칼라”… 일터 풍경이 달라진다,https://news.kmib.co.kr/article/view.asp?arcid=0924337554&code=11151100&cp=nv
한화오션,2024.01.01,"거제시, 2023년 시정유공자 시상식",http://www.gnnews.co.kr/news/articleView.html?idxno=542523
